player,no,matchTime,team,round,tacklesMade,tacklesMiss,tacklesPenalty,tacklesFirst,tacklesAssists,tacklesFirstPerc,tacklesMadePerc,contestDom,contestNeut,contestPass,contestDNPerc,rucksEff,rucksInEff,rucksInvolvement,rucksTOForced,LOSteals,TOForced,PFAtt,PFDef,PFTot
"Nche, O",1,0.5,Cheetahs ,3,,1,,,,,,,,1,,,1,1,,,,,,
"Leitch, M",8,1,Chiefs ,3,12,,,9,3,100,100,1,7,4,66.7,2,,2,,,,,,
"Cane, S",7,0.76,Chiefs ,3,10,2,1,9,1,81.8,76.9,1,5,7,46.2,5,1,6,,,,,,3
"Bardoul, J",5,1,Chiefs ,3,8,1,1,7,1,87.5,80,,4,6,40,5,1,6,,,,,,2
"Fisiiahi, G",14,1,Chiefs ,3,6,1,,6,,85.7,85.7,1,1,5,28.6,,,,,,,,,
"Cruden, A",10,0.69,Chiefs ,3,5,1,,3,2,75,83.3,,3,3,50,,1,1,,,,,,1
"Tokolahi, S",3,0.75,Chiefs ,3,5,1,,5,,83.3,83.3,,4,2,66.7,1,,1,,,,,,
"Allardice, M",4,0.82,Chiefs ,3,5,1,,5,,83.3,83.3,1,2,3,50,1,2,3,1,,1,,,1
"Weber, B",9,0.84,Chiefs ,3,5,,,4,1,100,100,1,1,3,40,1,1,2,1,,1,,,
"Tucker, J",19,0.18,Chiefs ,3,4,,,4,,100,100,,3,1,75,,1,1,,,,,,
"Graham, M",1,0.76,Chiefs ,3,4,,,2,2,100,100,,1,3,25,3,,3,1,,1,,,
"Lowe, J",11,1,Chiefs ,3,4,1,,3,1,75,80,2,2,1,80,1,,1,1,,1,,,
"Seu, T",6,1,Chiefs ,3,3,,,3,,100,100,1,1,1,66.7,3,,3,1,,1,,,3
"Tamanivalu, S",13,1,Chiefs ,3,3,,,3,,100,100,2,1,,100,4,1,5,1,,1,,,
"Vaipulu, M",20,0.24,Chiefs ,3,2,,,2,,100,100,,2,,100,2,,2,1,,1,,,
"Lienert-Brown, A",22,0.44,Chiefs ,3,2,,,1,1,100,100,,2,,100,1,,1,,,,,,
"Mckenzie, D",15,1,Chiefs ,3,2,,,2,,100,100,,1,1,50,,1,1,,,,,,
"Manu, P",17,0.24,Chiefs ,3,1,,1,1,,100,50,,1,1,50,,2,2,,,,,,2
"Ngatai, C",12,0.56,Chiefs ,3,1,,,1,,100,100,,,1,,2,,2,,,,,,
"Marshall, R",2,0.76,Chiefs ,3,1,4,,,1,,20,,,5,,1,,1,,,,,,
"McNicol, S",23,0.31,Chiefs ,3,,,,,,,,,,,,,2,2,,,,,,
"Moli, A",18,0.25,Chiefs ,3,,,,,,,,,,,,,1,1,,,,,,
"Pryor, D",7,0.96,Highlanders ,3,20,,,18,2,100,100,2,14,4,80,6,2,8,1,,1,,,1
"Christie, S",20,0.28,Highlanders ,3,12,,1,11,1,100,92.3,1,9,3,76.9,2,,2,,,,,,1
"Evans, G",19,0.61,Highlanders ,3,12,,,11,1,100,100,,9,3,75,4,,4,,,,,,1
"Ainley, A",4,1,Highlanders ,3,12,2,,9,3,81.8,85.7,1,10,3,78.6,3,1,4,,,,,,
"Halanukonuka, S",3,0.84,Highlanders ,3,11,,,7,4,100,100,,9,2,81.8,2,,2,,,,,,1
"Thompson, R",12,1,Highlanders ,3,11,1,,8,3,88.9,91.7,3,5,4,66.7,,,,1,,1,,,
"Whitelock, L",8,0.72,Highlanders ,3,10,1,,9,1,90,90.9,1,8,2,81.8,6,1,7,,,,,,
"Edmonds, B",1,0.76,Highlanders ,3,10,,,7,3,100,100,,8,2,80,4,1,5,,,,,,2
"Fekitoa, M",13,1,Highlanders ,3,9,4,,9,,69.2,69.2,3,1,9,30.8,1,,1,1,,1,,,
"Dixon, A",16,0.28,Highlanders ,3,8,1,,7,1,87.5,88.9,,6,3,66.7,,,,,,,,,
"Coltman, L",2,0.72,Highlanders ,3,8,,,8,,100,100,,4,4,50,3,1,4,,,,,,
"Faddes, M",14,1,Highlanders ,3,8,1,1,6,2,85.7,80,1,4,5,50,,,,,,,,,1
"Geldenhuys, R",18,0.16,Highlanders ,3,6,1,,5,1,83.3,85.7,,5,2,71.4,2,,2,,,,,,
"Sopoaga, L",10,0.92,Highlanders ,3,5,,,5,,100,100,,3,2,60,,,,,,,,,1
"Dixon, E",6,1,Highlanders ,3,5,5,,4,1,44.4,50,1,3,6,40,3,1,4,2,1,3,,,
"Smith, B",15,1,Highlanders ,3,5,,,4,1,100,100,2,1,2,60,,1,1,1,,1,,,
"Lienert-Brown, D",17,0.29,Highlanders ,3,4,3,,2,2,40,57.1,,2,5,28.6,4,,4,,,,,,
"Osborne, P",11,0.76,Highlanders ,3,4,3,,3,1,50,57.1,1,2,4,42.9,1,,1,,,,,,
"Wheeler, J",5,0.39,Highlanders ,3,3,,,2,1,100,100,,2,1,66.7,2,,2,,,,,,1
"Renton, J",21,0.08,Highlanders ,3,2,1,,2,,66.7,66.7,1,1,1,66.7,,,,,,,,,
"Smith, A",9,0.92,Highlanders ,3,2,1,,1,1,50,66.7,,,3,,2,,2,,,,,,
"Emery, J",23,0.24,Highlanders ,3,1,,,,1,,100,,,1,,2,,2,,,,,,
"Parker, H",22,0.08,Highlanders ,3,,1,,,,,,,,1,,,,,,,,,,
"Abbot, M",5,0.9,Hurricanes ,3,22,9,,16,6,64,71,2,16,13,58.1,4,1,5,1,,1,,,
"Savea, A",7,1,Hurricanes ,3,19,,,12,7,100,100,,7,12,36.8,13,3,16,2,,2,,,
"Aso, V",13,1,Hurricanes ,3,16,2,,13,3,86.7,88.9,1,10,7,61.1,4,1,5,,,,,,
"Riccitelli, R",16,0.71,Hurricanes ,3,12,4,,9,3,69.2,75,,9,7,56.3,2,3,5,,,,,,
"Fafita, V",19,0.75,Hurricanes ,3,12,3,,7,5,70,80,,10,5,66.7,4,1,5,2,,2,,,2
"Allen, J",3,1,Hurricanes ,3,12,1,,9,3,90,92.3,1,6,6,53.8,,2,2,1,,1,,,1
"Laumape, N",12,1,Hurricanes ,3,12,4,1,10,2,71.4,70.6,1,1,15,11.8,7,,7,,,,,,2
"Thomson, B",4,0.82,Hurricanes ,3,11,,,11,,100,100,1,5,5,54.5,3,1,4,1,,1,,,
"Perenara, TJ",9,1,Hurricanes ,3,11,2,,7,4,77.8,84.6,,4,9,30.8,4,1,5,,,,,,
"Vito, V",8,0.97,Hurricanes ,3,10,1,,7,3,87.5,90.9,1,5,5,54.5,3,1,4,2,,2,,,1
"Marshall, J",15,1,Hurricanes ,3,10,,,6,4,100,100,,3,7,30,3,1,4,,,,,,
"Gibbins, C",20,0.29,Hurricanes ,3,9,1,,9,,90,90,,4,6,40,4,,4,,,,,,
"Shields, B",6,0.25,Hurricanes ,3,6,1,,5,1,83.3,85.7,2,1,4,42.9,1,1,2,,,,,,1
"Apisai, L",2,0.29,Hurricanes ,3,6,,,4,2,100,100,,3,3,50,1,1,2,,,,,,1
"Barrett, B",10,1,Hurricanes ,3,6,1,,5,1,83.3,85.7,,2,5,28.6,2,1,3,,,,,,
"Milner-Skudder, N",14,0.56,Hurricanes ,3,5,2,,4,1,66.7,71.4,2,1,4,42.9,,,,,,,,,
"Eves, C",17,0.21,Hurricanes ,3,4,,,4,,100,100,1,1,2,50,1,,1,,,,,,
"Goodes, R",1,0.46,Hurricanes ,3,4,2,,4,,66.7,66.7,1,2,3,50,6,,6,2,,2,,,
"Uhila, L",18,0.33,Hurricanes ,3,3,1,,2,1,66.7,75,,2,2,50,3,,3,,,,,,
"Savea, J",11,0.9,Hurricanes ,3,3,1,,3,,75,75,1,1,2,50,,,,,,,,,
"Jane, C",23,0.44,Hurricanes ,3,2,1,,2,,66.7,66.7,,1,2,33.3,1,1,2,,,,,,1
"Gates, S",12,0.87,Kings ,3,10,1,,10,,90.9,90.9,1,3,7,36.4,1,2,3,,,,,,
"Bholi, T",7,1,Kings ,3,10,3,,8,2,72.7,76.9,2,3,8,38.5,1,1,2,1,,1,,,
"Velleman, C",20,0.28,Kings ,3,9,,,5,4,100,100,,7,2,77.8,1,3,4,,,,,,
"Cloete, C",6,1,Kings ,3,9,3,2,7,2,70,64.3,2,4,8,42.9,5,6,11,5,,5,,,2
"Ferreira, S",1,0.69,Kings ,3,8,,,5,3,100,100,1,6,1,87.5,2,,2,1,,1,,,1
"Watermeyer, S",13,1,Kings ,3,8,6,,5,3,45.5,57.1,1,5,8,42.9,1,1,2,1,,1,,,
"Oelofse, S",19,0.41,Kings ,3,7,,,4,3,100,100,,5,2,71.4,,,,,,,,,
"Fouché, L",10,1,Kings ,3,7,3,,6,1,66.7,70,,3,7,30,2,1,3,,,,,,
"Kebe, N",9,0.62,Kings ,3,6,,,6,,100,100,1,3,2,66.7,,,,,,,,,
"Jaer, M",11,1,Kings ,3,6,,,6,,100,100,,3,3,50,,1,1,,,,,,
"Botha, T",18,0.45,Kings ,3,5,1,,3,2,75,83.3,,3,3,50,,,,,,,,,2
"Vulindlu, L",14,1,Kings ,3,4,5,,4,,44.4,44.4,,3,6,33.3,,,,,,,,,
"Sithole, S",17,0.31,Kings ,3,3,1,,3,,75,75,,1,3,25,,,,,,,,,
"Luiters, K",21,0.38,Kings ,3,3,2,,3,,60,60,,1,4,20,,,,,,,,,
"Van Tonder, J",23,0.44,Kings ,3,3,,,2,1,100,100,,2,1,66.7,,,,,,,,,
"Adriaanse, J",3,0.55,Kings ,3,3,2,,2,1,50,60,,2,3,40,,,,,,,,,
"Engelbrecht, J",8,0.62,Kings ,3,3,,,3,,100,100,,1,2,33.3,3,,3,,,,,,
"Sykes, S",4,0.91,Kings ,3,3,1,,2,1,66.7,75,,3,1,75,,,,,,,,,
"Bezuidenhout, M",16,0.18,Kings ,3,2,,1,2,,100,66.7,,,3,,,1,1,,,,,,1
"Marutlulle, E",2,0.82,Kings ,3,2,,1,1,1,100,66.7,,1,2,33.3,2,1,3,,,,,,1
"Astle, J",5,0.67,Kings ,3,1,1,,1,,50,50,,1,1,50,2,,2,,,,,,
"Visser, J",15,0.56,Kings ,3,,,,,,,,,,,,,1,1,,,,,,
"Watts, E",22,0.13,Kings ,3,,,,,,,,,,,,,1,1,,,,,,
"Jantjies, ET",10,1,Lions ,3,8,4,,6,2,60,66.7,2,3,7,41.7,,,,2,,2,,,
"Mostert, F",5,1,Lions ,3,8,1,,8,,88.9,88.9,1,6,2,77.8,,,,,1,1,,,
"Whiteley, WR",8,1,Lions ,3,7,1,,6,1,85.7,87.5,,2,6,25,1,,1,,,,,,
"Ferreira, A",4,0.71,Lions ,3,6,,,5,1,100,100,,4,2,66.7,1,,1,,,,,,
"Mnisi, H X",12,1,Lions ,3,6,1,,5,1,83.3,85.7,1,2,4,42.9,,,,1,,1,,,
"Tecklenburg, W",7,1,Lions ,3,6,2,,4,2,66.7,75,1,3,4,50,2,1,3,,,,,,
"Coetzee, R",2,0.71,Lions ,3,5,,,5,,100,100,,3,2,60,1,,1,,,,,,
"van der Walt, J",15,1,Lions ,3,5,1,,5,,83.3,83.3,1,1,4,33.3,,1,1,2,,2,,,
"Skosan, C",11,1,Lions ,3,4,,,4,,100,100,,1,3,25,,1,1,,,,,,
"Fourie, C",17,0.29,Lions ,3,2,,,2,,100,100,1,,1,50,,,,,,,,,
"Dreyer, RM",3,0.71,Lions ,3,2,1,,2,,66.7,66.7,,1,2,33.3,,,,,,,,,
"van Rooyen, J",1,0.71,Lions ,3,2,1,,2,,66.7,66.7,,2,1,66.7,,,,,,,,,
"Kriel, J",6,0.79,Lions ,3,2,,,1,1,100,100,,1,1,50,1,,1,1,,1,,,
"Ackermann, R",20,0.21,Lions ,3,1,,,1,,100,100,1,,,100,,,,1,,1,,,
"Nel, J",22,0.22,Lions ,3,1,,,,1,,100,,1,,100,,,,,,,,,
"Redelinghuys, J",18,0.29,Lions ,3,1,,,1,,100,100,,1,,100,1,,1,,,,,,
"Van der Merwe, AHP",16,0.29,Lions ,3,1,,,1,,100,100,,1,,100,,,,,,,,,1
"de Klerk, F",9,0.72,Lions ,3,1,,,1,,100,100,,,1,,,1,1,,,,,,
"Combrink, R",14,1,Lions ,3,1,,,1,,100,100,1,,,100,1,2,3,1,,1,,,
"Janse van Rensburg, R",13,0.78,Lions ,3,,2,,,,,,,,2,,,1,1,,,,,,
"McMahon, S",7,1,Rebels ,3,13,,,12,1,100,100,2,10,1,92.3,1,1,2,1,,1,,,
"Thomson, A",8,1,Rebels ,3,12,,,9,3,100,100,1,8,3,75,3,4,7,,,,,,
"Inman, M",12,1,Rebels ,3,11,4,,8,3,66.7,73.3,,9,6,60,,6,6,,,,,,
"Smith, T",1,1,Rebels ,3,11,3,,6,5,66.7,78.6,,8,6,57.1,,1,1,,,,,,
"Reid, J",6,1,Rebels ,3,10,2,1,8,2,80,76.9,,7,6,53.8,1,6,7,,,,,,2
"Leafa, P",16,0.23,Rebels ,3,8,,,8,,100,100,,7,1,87.5,1,3,4,,,,,,
"Jones, L",4,1,Rebels ,3,8,1,,7,1,87.5,88.9,,7,2,77.8,,1,1,,,,,,1
"Jeffries, S",19,0.14,Rebels ,3,5,,,4,1,100,100,,5,,100,,1,1,,,,,,
"Hanson, J",2,0.77,Rebels ,3,5,,,2,3,100,100,1,4,,100,1,4,5,1,,1,,,
"Tuipolotu, S",13,1,Rebels ,3,5,,,5,,100,100,1,3,1,80,,1,1,,,,,,
"Weeks, L",3,1,Rebels ,3,5,2,,4,1,66.7,71.4,2,3,2,71.4,,,,1,,1,,,1
"Shipperley, D",14,1,Rebels ,3,4,,,4,,100,100,,4,,100,1,2,3,,,,,,
"Timani, L",5,0.86,Rebels ,3,3,1,,1,2,50,75,,3,1,75,1,6,7,1,,1,,,1
"English, T",11,1,Rebels ,3,3,,,2,1,100,100,,1,2,33.3,,2,2,,,,,,
"Debreczeni, J",10,1,Rebels ,3,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Meehan, B",9,1,Rebels ,3,1,1,,1,,50,50,,,2,,,,,,,,,,
"Placid, J",15,1,Rebels ,3,1,1,,,1,,50,,,2,,,1,1,,,,,,
"Schatz, J",8,1,Reds ,3,17,,,14,3,100,100,1,13,3,82.4,2,5,7,1,,1,,,
"Kerevi, S",13,1,Reds ,3,14,3,,12,2,80,82.4,1,9,7,58.8,1,4,5,,,,,,
"Neville, C",4,1,Reds ,3,12,1,,10,2,90.9,92.3,2,9,2,84.6,2,7,9,2,,2,,,1
"Setu, W",7,0.65,Reds ,3,11,1,,5,6,83.3,91.7,,8,4,66.7,3,8,11,1,,1,,,1
"Holmes, G",3,0.86,Reds ,3,11,2,,6,5,75,84.6,,7,6,53.8,2,1,3,,,,,,
"Faingaa, A",12,0.9,Reds ,3,11,2,2,6,5,75,73.3,,9,6,60,1,4,5,,,,,,2
"McIntyre, J",10,1,Reds ,3,11,3,,10,1,76.9,78.6,,10,4,71.4,,,,,,,,,
"Ready, A",2,0.94,Reds ,3,10,2,,7,3,77.8,83.3,,5,7,41.7,5,3,8,,,,,,
"Simmons, R",5,1,Reds ,3,10,1,,7,3,87.5,90.9,1,9,1,90.9,,1,1,,,,,,
"Faagase, S",1,0.7,Reds ,3,7,2,1,5,2,71.4,70,,4,6,40,,2,2,,,,,,2
"Tui, H",6,1,Reds ,3,7,3,1,4,3,57.1,63.6,,6,5,54.5,3,3,6,,1,1,,,2
"Feauai-Sautia, C",14,1,Reds ,3,6,5,,6,,54.5,54.5,1,3,7,36.4,,,,,,,,,
"Daley, B",17,0.3,Reds ,3,5,1,,5,,83.3,83.3,,5,1,83.3,,3,3,,,,,,1
"Browning, C",20,0.35,Reds ,3,4,,,4,,100,100,1,1,2,50,1,7,8,1,,1,,,
"Frisby, N",9,1,Reds ,3,3,3,,3,,50,50,,1,5,16.7,,,,,,,,,1
"Hunt, K",15,1,Reds ,3,2,,,2,,100,100,,2,,100,1,,1,,,,,,
"Nabuli, E",11,1,Reds ,3,2,,,2,,100,100,1,,1,50,,3,3,,,,,,
"Talakai, S",18,0.14,Reds ,3,1,1,,1,,50,50,,1,1,50,,,,,,,,,
"Coetzee, M",6,1,Sharks ,3,17,1,,7,10,87.5,94.4,1,10,7,61.1,5,13,18,4,,4,,,
"Esterhuizen, A",12,1,Sharks ,3,17,4,1,12,5,75,77.3,1,12,9,59.1,2,1,3,,,,,,1
"du Preez, J",7,1,Sharks ,3,16,,,13,3,100,100,,13,3,81.3,2,5,7,,,,,,
"Jordaan, P",13,1,Sharks ,3,15,,,8,7,100,100,1,10,4,73.3,2,5,7,,,,,,
"Marais, F",2,1,Sharks ,3,14,1,1,12,2,92.3,87.5,,8,8,50,,7,7,,,,,,1
"Van der Walt, P",20,1,Sharks ,3,11,,,8,3,100,100,,11,,100,4,4,8,,,,,,
"Adriaanse, L",18,1,Sharks ,3,10,2,,8,2,80,83.3,,9,3,75,,4,4,,,,,,1
"du Preez, D",8,1,Sharks ,3,10,,1,9,1,100,90.9,1,5,5,54.5,,2,2,1,,1,,,2
"Lewies, S",5,1,Sharks ,3,10,,,8,2,100,100,,9,1,90,,2,2,,,,,,1
"Oosthuizen, Coe",3,1,Sharks ,3,10,1,,4,6,80,90.9,,8,3,72.7,,4,4,,,,,,
"Mtawarira, T",1,1,Sharks ,3,7,1,,5,2,83.3,87.5,1,6,1,87.5,2,4,6,1,,1,,,
"Oosthuizen, E",4,1,Sharks ,3,7,1,,5,2,83.3,87.5,1,6,1,87.5,1,8,9,1,1,2,,,1
"Pietersen, J",10,1,Sharks ,3,7,2,,4,3,66.7,77.8,,5,4,55.6,,1,1,,,,,,
"Reinach, J",9,1,Sharks ,3,7,1,,7,,87.5,87.5,2,3,3,62.5,,2,2,2,,2,,,
"Ndungane, O",14,1,Sharks ,3,6,,,4,2,100,100,1,2,3,50,1,1,2,,,,,,
"Cooper, KL",16,1,Sharks ,3,3,,,3,,100,100,1,2,,100,1,2,3,,,,,,
"Schoeman, J",17,1,Sharks ,3,3,,,3,,100,100,,3,,100,1,,1,,,,,,
"Pietersen, J",11,1,Sharks ,3,2,1,,2,,66.7,66.7,1,1,1,66.7,,1,1,,,,,,
"Andrews, H",19,1,Sharks ,3,1,,1,,1,,50,,1,1,50,1,3,4,,,,,,1
"Claassens, M",21,1,Sharks ,3,1,,,1,,100,100,,1,,100,,2,2,,,,,,
"Le Roux, W",15,1,Sharks ,3,1,1,,1,,50,50,,,2,,,1,1,,,,,,
"du Toit, P.S",5,1,Stormers ,3,14,,,8,6,100,100,1,12,1,92.9,1,4,5,1,,1,,,
"Burger, S",8,1,Stormers ,3,11,1,,6,5,85.7,91.7,2,8,2,83.3,3,10,13,2,,2,,,1
"Etzebeth, Eb",4,1,Stormers ,3,11,,1,9,2,100,91.7,,9,3,75,1,2,3,,,,,,1
"Kolisi, S",7,1,Stormers ,3,10,,,7,3,100,100,1,6,3,70,1,1,2,,,,,,1
"Carr, N",6,1,Stormers ,3,9,2,1,4,5,66.7,75,2,6,4,66.7,5,7,12,2,,2,,,1
"Coleman, K",10,1,Stormers ,3,8,,,6,2,100,100,1,6,1,87.5,,,,1,,1,,,
"de Jongh, JL",12,1,Stormers ,3,6,1,,6,,85.7,85.7,1,5,1,85.7,,2,2,,,,,,
"Malherbe, F",3,1,Stormers ,3,6,1,,3,3,75,85.7,1,4,2,71.4,1,3,4,,,,,,1
"Mbonami, M",2,1,Stormers ,3,6,,,5,1,100,100,,4,2,66.7,,3,3,,,,,,
"Kolbe, C",15,1,Stormers ,3,5,1,,2,3,66.7,83.3,1,2,3,50,,1,1,,,,,,
"van Rensburg, J",1,1,Stormers ,3,4,,,3,1,100,100,,4,,100,1,2,3,,,,,,
"Leyds, D",14,1,Stormers ,3,3,,,1,2,100,100,,3,,100,1,1,2,1,,1,,,1
"Vermaak, J",9,1,Stormers ,3,3,,,3,,100,100,,3,,100,,,,,,,,,
"Groom, N",21,1,Stormers ,3,2,1,,2,,66.7,66.7,,2,1,66.7,,1,1,,,,,,
"Kotze, J",13,1,Stormers ,3,2,4,,2,,33.3,33.3,,1,5,16.7,,2,2,,,,,,
"Kebble, O",17,1,Stormers ,3,1,,,1,,100,100,,1,,100,,2,2,,,,,,
"Koch, V.P",18,1,Stormers ,3,1,,,1,,100,100,,1,,100,,1,1,,,,,,
"Notshe, S",20,1,Stormers ,3,1,1,,1,,50,50,,1,1,50,,5,5,,,,,,
"Ntubeni, S",16,1,Stormers ,3,1,,,1,,100,100,,1,,100,,,,,,,,,
"Zas, L",11,1,Stormers ,3,1,1,,,1,,50,1,,1,50,,,,1,,1,,,
"Jones, H",23,1,Stormers ,3,,1,,,,,,,,1,,,,,,,,,,
"Inagaki, K",1,0.93,Sunwolves ,3,11,1,,10,1,90.9,91.7,,6,6,50,,1,1,,,,,,
"Horie, S",2,0.87,Sunwolves ,3,9,1,,5,4,83.3,90,,7,3,70,,2,2,,,,,,
"Quirk, E",8,0.88,Sunwolves ,3,9,,,7,2,100,100,,8,1,88.9,2,7,9,,,,,,2
"Durutalo, A",7,1,Sunwolves ,3,9,3,,7,2,70,75,,5,7,41.7,3,5,8,2,,2,,,
"Moli, L",6,1,Sunwolves ,3,8,1,,3,5,75,88.9,1,7,1,88.9,1,2,3,,,,,,
"Asahara, T",18,0.43,Sunwolves ,3,7,2,,4,3,66.7,77.8,,7,2,77.8,1,,1,,,,,,
"Tamura, Y",12,1,Sunwolves ,3,7,2,,6,1,75,77.8,,4,5,44.4,,,,,,,,,
"Ono, H",4,0.78,Sunwolves ,3,6,2,,4,2,66.7,75,,6,2,75,,2,2,,,,,,
"Tatekawa, H",13,1,Sunwolves ,3,6,,,6,,100,100,,6,,100,,1,1,,,,,,
"Makabe, S",19,0.22,Sunwolves ,3,5,,,4,1,100,100,,4,1,80,,2,2,,,,,,1
"Hosoda, Y",20,0.43,Sunwolves ,3,5,1,,3,2,75,83.3,,3,3,50,,1,1,,,,,,
"Sasakura, Y",11,1,Sunwolves ,3,5,2,,5,,71.4,71.4,,1,6,14.3,,,,,,,,,
"Bond, T",5,0.57,Sunwolves ,3,4,,1,3,1,100,80,,4,1,80,1,1,2,,,,,,1
"Hiwasa, A",9,0.71,Sunwolves ,3,4,3,,4,,57.1,57.1,1,3,3,57.1,1,,1,1,,1,,,
"Pisi, T",10,0.87,Sunwolves ,3,4,,,3,1,100,100,1,3,,100,1,2,3,2,,2,,,
"Yamada, A",14,0.7,Sunwolves ,3,3,,,2,1,100,100,,1,2,33.3,,,,,,,,,
"Viljoen, R",15,0.92,Sunwolves ,3,3,,,3,,100,100,,3,,100,,,,,,,,,
"Mikami, M",17,0.07,Sunwolves ,3,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Kizu, T",16,0.13,Sunwolves ,3,2,,,1,1,100,100,,2,,100,,,,,,,,,
"Shigeno, K",21,0.29,Sunwolves ,3,2,3,,2,,40,40,,1,4,20,,,,,,,,,1
"Paea, M",23,0.38,Sunwolves ,3,2,1,,1,1,50,66.7,,2,1,66.7,,1,1,,,,,,
"Kakinaga, S",3,0.57,Sunwolves ,3,1,1,,1,,50,50,,,2,,,2,2,,,,,,1
"Hodgson, M",7,1,Force,3,23,1,,20,3,95.2,95.8,1,15,8,66.7,6,5,11,1,,1,,,3
"Haylett-Petty, R",4,1,Force,3,13,,,12,1,100,100,,10,3,76.9,2,1,3,,,,,,
"Tessmann, H",2,0.66,Force,3,11,1,,8,3,88.9,91.7,1,8,3,75,4,3,7,,,,,,
"Lance, J",10,0.56,Force,3,10,2,,7,3,77.8,83.3,,5,7,41.7,,,,,,,,,
"Tapuai, B",13,1,Force,3,9,,,8,1,100,100,,6,3,66.7,4,1,5,1,,1,,,
"Stander, B",6,0.84,Force,3,8,3,,7,1,70,72.7,1,4,6,45.5,2,6,8,,,,,,
"Morahan, L",14,0.91,Force,3,8,1,,6,2,85.7,88.9,,2,7,22.2,1,1,2,,,,,,
"Cowan, P",1,0.73,Force,3,7,1,,7,,87.5,87.5,2,3,3,62.5,2,1,3,1,,1,,,2
"Coleman, A",5,0.71,Force,3,6,2,1,5,1,71.4,66.7,,3,6,33.3,3,1,4,,,,,,1
"Rasolea, S",12,1,Force,3,6,1,,6,,85.7,85.7,1,4,2,71.4,4,,4,1,,1,,,
"Ainsley, J",3,0.48,Force,3,5,1,,3,2,75,83.3,,5,1,83.3,1,2,3,,,,,,1
"Millar, G",18,0.52,Force,3,5,,,4,1,100,100,,1,4,20,2,,2,,,,,,1
"McCalman, B",8,0.93,Force,3,5,1,1,4,1,80,71.4,,3,4,42.9,8,1,9,,,,,,2
"Haylett-Petty, D",15,1,Force,3,5,,,5,,100,100,,2,3,40,,,,,,,,,
"Prior, I",9,0.71,Force,3,4,4,,4,,50,50,,1,7,12.5,2,,2,2,,2,,,
"Heiberg, C",17,0.2,Force,3,3,,,3,,100,100,,1,2,33.3,,1,1,,,,,,
"Mathewson, A",21,0.29,Force,3,2,,,2,,100,100,,1,1,50,1,,1,,,,,,
"Grant, P",22,0.44,Force,3,2,,,1,1,100,100,,1,1,50,,,,,,,,,
"Mafi, S",19,0.29,Force,3,1,1,,,1,,50,,1,1,50,1,,1,,,,,,
"Charles, N",16,0.34,Force,3,1,1,,1,,50,50,1,,1,50,,,,,,,,,
"Brache, M",23,0.09,Force,3,,1,,,,,,,,1,,,,,,,,,,
"Cottrell, A",20,0.16,Force,3,,,,,,,,,,,,1,1,2,,,,,,
"Masirewa, S",11,0.88,Force,3,,,1,,,,,,,1,,2,2,4,,,,,,1
"Gibson, B",7,1,Blues ,4,13,2,,9,4,81.8,86.7,2,11,2,86.7,7,,7,1,,1,,,
"Bekhuis, J",5,1,Blues ,4,11,,,7,4,100,100,,10,1,90.9,2,,2,,,,,,1
"Kaino, J",6,0.73,Blues ,4,9,1,,8,1,88.9,90,,8,2,80,3,,3,2,1,3,,,
"Sau, M",13,1,Blues ,4,8,3,1,7,1,70,66.7,2,2,8,33.3,1,,1,2,,2,,,1
"Visinia, L",15,1,Blues ,4,7,,,5,2,100,100,2,2,3,57.1,1,,1,1,,1,,,
"Tuipulotu, P",4,0.65,Blues ,4,5,,,4,1,100,100,,3,2,60,2,,2,,,,,,
"Ioane, R",14,1,Blues ,4,5,,,5,,100,100,1,1,3,40,2,,2,1,,1,,,
"Luatua, S",8,0.65,Blues ,4,4,2,,4,,66.7,66.7,1,2,3,50,4,,4,1,,1,,,
"Edwards, J",20,0.27,Blues ,4,3,,,2,1,100,100,2,1,,100,,,,1,,1,,,
"Matenga, H",19,0.35,Blues ,4,3,,,3,,100,100,,3,,100,,1,1,,1,1,,,
"Tu'ungafasi, O",1,0.56,Blues ,4,3,,1,2,1,100,75,,3,1,75,5,,5,1,,1,,,2
"Parsons, J",2,0.65,Blues ,4,3,,,2,1,100,100,,2,1,66.7,2,,2,,,,,,
"Moala, G",12,0.72,Blues ,4,3,2,,2,1,50,60,,2,3,40,,,,,,,,,
"Hall, B",9,0.79,Blues ,4,3,,,3,,100,100,,3,,100,,,,,,,,,
"West, I",10,1,Blues ,4,3,,,3,,100,100,,,3,,,,,,,,,,1
"Ioane, A",21,0.35,Blues ,4,2,,,2,,100,100,,1,1,50,1,1,2,,,,,,1
"MacDonald, Q",16,0.35,Blues ,4,2,1,,2,,66.7,66.7,,2,1,66.7,2,,2,,,,,,
"Mayhew, N",17,0.44,Blues ,4,2,1,,2,,66.7,66.7,1,1,1,66.7,1,,1,1,,1,,,2
"Faumina, C",3,0.65,Blues ,4,1,1,,1,,50,50,,1,1,50,3,,3,,,,,,2
"Guyton, B",23,0.21,Blues ,4,,,,,,,,,,,,1,,1,,,,,,
"Li, T",11,1,Blues ,4,,3,1,,,,,,,4,,,,,,,,,,1
"Mafileo, S",18,0.28,Blues ,4,,,,,,,,,,,,,,,,,,,,2
