player,no,matchTime,team,round,passes,offLoads,totalPassing,kicksInPlay,carryRuns,carryMetres,carryBeatsDef,carryGainLine,carryLinebreaks,ruckEff,ruckInEff,ruckTotal,rcvs,toInPos,pfInAttack,totalPF,Ruck Success
"Hall, B",9,1,Blues,1,57,2,59,6,6,21,2,4,1,,,,5,,,,
"West, I",10,1,Blues,1,23,,23,10,3,7,3,1,1,,,,2,,,,
"Guyton, B",21,1,Blues,1,20,,20,,4,32,1,4,,,,,4,,,,
"Bekhuis, J",5,1,Blues,1,5,,5,,6,8,,3,,,,,3,,,,
"Tuipulotu, P",4,1,Blues,1,5,1,6,,14,12,,6,,,,,1,3,,,
"Gibson, B",7,1,Blues,1,4,,4,,5,41,4,,2,,,,2,,,2,
"Moala, G",12,1,Blues,1,4,,4,,8,39,1,5,,,,,1,1,,,
"Li, T",11,1,Blues,1,3,,3,,7,22,2,4,1,,,,1,1,,,
"Edwards, J",6,1,Blues,1,2,,2,,9,17,,2,,,,,2,,,,
"Nanai, M",14,1,Blues,1,2,1,3,1,9,59,2,3,,,,,4,1,,,
"Ranger, R",23,1,Blues,1,2,1,4,,5,8,1,2,,,,,,2,,,
"Visinia, L",15,1,Blues,1,2,1,3,2,8,50,2,4,1,,,,3,,,,
"Ioane, A",19,1,Blues,1,1,1,2,,14,29,2,4,,,,,2,,,1,
"Luatua, S",8,1,Blues,1,1,,2,,6,4,,,,,,,4,1,,1,
"Pryor, K",20,1,Blues,1,1,,1,,3,11,1,,1,,,,,,,,
"Faumina, C",18,1,Blues,1,,,,,5,1,,1,,,,,,,,,
"MacDonald, Q",16,1,Blues,1,,,,,2,3,,1,,,,,,,,,
"Mafileo, S",3,1,Blues,1,,,,,2,4,,1,,,,,1,1,,,
"Parsons, J",2,1,Blues,1,,1,1,,3,15,,,,,,,,,,,
"Sau, M",13,1,Blues,1,,,,,2,2,2,1,,,,,,,,,
"Tu'ungafasi, O",1,1,Blues,1,,,,,11,22,3,8,,,,,1,,1,2,
"Cubelli, T",9,1,Brumbies,1,38,,38,3,7,24,3,3,1,,,,3,3,,,
"Lealiifano, C",10,1,Brumbies,1,15,,15,3,4,6,,1,,,,,3,,,1,
"Dowsett, M",21,1,Brumbies,1,9,,9,3,1,6,,,,,,,,,,,
"Toua, A",15,1,Brumbies,1,7,,7,7,1,,,,,,,,2,1,,,
"Pocock, D",7,1,Brumbies,1,6,1,7,,7,27,,3,,,,,5,,,4,
"Moore, S",2,1,Brumbies,1,5,,5,1,5,38,,1,1,,,,2,1,,,
"Toomua, M",12,1,Brumbies,1,3,1,4,2,4,11,1,2,1,,,,2,2,,1,
"Arnold, R",4,1,Brumbies,1,2,,2,,2,6,,1,,,,,,,,,
"Butler, J",20,1,Brumbies,1,2,,2,,4,31,3,3,1,,,,1,,,,
"Carter, S",5,1,Brumbies,1,2,,2,,8,18,,4,,,,,1,2,,,
"Fardy, S",6,1,Brumbies,1,2,,2,1,9,14,,4,,,,,4,,1,3,
"Speight, H",14,1,Brumbies,1,2,,2,1,4,40,2,1,1,,,,5,1,,,
"Vaea, I",8,1,Brumbies,1,2,1,3,,13,29,,6,,,,,2,1,,,
"Alaalatoa, A",1,1,Brumbies,1,1,,1,,5,6,,3,,,,,,1,,,
"Kuridrani, T",13,1,Brumbies,1,1,,1,,3,15,1,2,,,,,,,,1,
"Makin, L",18,1,Brumbies,1,1,,1,,,,,,,,,,,,,,
"Mann-Rea, J",16,1,Brumbies,1,1,,1,,2,34,1,1,1,,,,1,,,,
"Smiler, J",19,1,Brumbies,1,1,,1,,1,,,,,,,,1,,1,2,
"Smith, A",22,1,Brumbies,1,1,,1,,,,,,,,,,,1,,,
"Tomane, J",11,1,Brumbies,1,1,1,2,,2,15,2,1,1,,,,,,,,
"Alexander, B",3,1,Brumbies,1,,,,,2,15,,,1,,,,1,,1,1,
"Sio, S",17,1,Brumbies,1,,,,,3,6,,1,,,,,,,,,
"Meyer, T",22,1,Cheetahs ,1,32,,34,2,9,22,,6,,,,,1,1,,1,
"Venter, S",9,1,Cheetahs ,1,27,1,28,2,4,19,1,2,1,,,,4,1,1,1,
"Zeilinga, F",10,1,Cheetahs ,1,21,2,23,4,8,57,2,2,2,,,,8,2,,,
"Blommetjies, C",15,1,Cheetahs ,1,12,,12,3,10,64,3,4,,,,,6,5,1,2,
"Venter, F",13,1,Cheetahs ,1,9,1,10,,15,141,6,8,2,,,,2,,,,
"Small-Smith, W",12,1,Cheetahs ,1,5,,5,,8,35,,6,1,,,,3,,,1,
"Marais, D",23,1,Cheetahs ,1,4,,4,,,,,,,,,,2,1,,,
"Rhule, R",11,1,Cheetahs ,1,4,1,5,2,14,141,5,3,3,,,,3,6,2,3,
"Cassiem, U",7,1,Cheetahs ,1,3,,3,,5,6,,2,,,,,2,1,,1,
"de Jager, L",5,1,Cheetahs ,1,3,2,5,,6,30,2,2,1,,,,4,,,1,
"Van Jaarsveld, T",2,1,Cheetahs ,1,3,,3,,6,25,1,3,,,,,,,,,
"Du Toit, J",16,1,Cheetahs ,1,1,,1,,1,2,,,,,,,,,,,
"Petersen, S",14,1,Cheetahs ,1,1,,1,1,1,88,4,,1,,,,1,,,,
"Prinsloo, B",6,1,Cheetahs ,1,1,,1,,4,6,,2,,,,,1,,,,
"Schoeman, P",21,1,Cheetahs ,1,1,,1,,2,6,,1,,,,,2,,,,
"Wegner, C",4,1,Cheetahs ,1,1,1,2,,6,17,,2,,,,,3,2,,,
"De Bruin, L",18,1,Cheetahs ,1,,,,,1,,,,,,,,,,,,
"Hugo, R",19,1,Cheetahs ,1,,,,,1,4,1,1,,,,,,1,,,
"Jordaan, N",8,1,Cheetahs ,1,,,,,3,8,1,2,,,,,,1,,,
"Nche, O",17,1,Cheetahs ,1,,,1,,2,6,1,2,,,,,1,1,,1,
"van Dyk, M",3,1,Cheetahs ,1,,,,,4,5,1,1,,,,,,,,,
"Venter, H",20,1,Cheetahs ,1,,,,,3,6,,1,,,,,,,2,2,
"Kerr-Barlow, T",9,1,Chiefs ,1,42,2,44,3,7,42,2,2,,,,,2,1,1,1,
"Cruden, A",10,1,Chiefs ,1,25,2,27,5,12,63,2,4,1,,,,1,1,,,
"Weber, B",21,1,Chiefs ,1,23,,23,,1,1,,1,,,,,,1,,,
"Mckenzie, D",15,1,Chiefs ,1,17,1,18,5,17,89,5,5,1,,,,9,,,,
"Lowe, J",11,1,Chiefs ,1,8,1,9,7,15,82,2,5,,,,,11,1,,1,
"Retallick, B",5,1,Chiefs ,1,7,2,9,,6,8,1,1,,,,,1,1,,,
"Ngatai, C",12,1,Chiefs ,1,5,3,8,3,10,22,2,5,,,,,4,,,,
"Cane, S",7,1,Chiefs ,1,3,2,5,,12,19,1,6,,,,,2,1,,1,
"Seu, T",6,1,Chiefs ,1,3,,3,,5,12,,3,,,,,5,1,,1,
"Stevenson, S",14,1,Chiefs ,1,3,,3,2,6,37,1,3,1,,,,3,3,,,
"Allardice, M",4,1,Chiefs ,1,2,,2,,5,13,,2,1,,,,,1,,,
"Sanders, T",8,1,Chiefs ,1,2,2,4,,5,28,1,3,1,,,,2,2,,,
"Vaipulu, M",19,1,Chiefs ,1,2,1,3,,1,2,,1,,,,,1,,,,
"Bardoul, J",20,1,Chiefs ,1,1,,1,,2,19,,1,,,,,,,,,
"Graham, M",17,1,Chiefs ,1,1,,1,,3,6,,1,,,,,,,,,
"Lienert-Brown, A",22,1,Chiefs ,1,1,1,2,,4,33,1,2,1,,,,,1,,,
"Manu, P",1,1,Chiefs ,1,1,,1,,8,14,2,3,,,,,,1,,,
"Vaeno, L",23,1,Chiefs ,1,1,,1,,3,20,1,,,,,,,,,,
"Harris, N",16,1,Chiefs ,1,,,,,2,6,,,,,,,1,,1,1,
"Marshall, R",2,1,Chiefs ,1,,,,,,,,,,,,,,1,,,
"Tamanivalu, S",13,1,Chiefs ,1,,,1,,4,37,2,3,2,,,,,1,1,1,
"Tokolahi, S",18,1,Chiefs ,1,,,,,,,,,,,,,,,,1,
"Yamashita, H",3,1,Chiefs ,1,,,,,,,,,,,,,,,,1,
"Ellis, A",9,1,Crusaders ,1,51,1,52,10,2,11,,,,,,,5,3,,1,
"Mo'unga, R",10,1,Crusaders ,1,22,,22,11,8,74,1,2,1,,,,4,,,,
"Read, K",8,1,Crusaders ,1,8,,8,,5,7,,3,,,,,,1,,,
"Fonotia, K",12,1,Crusaders ,1,5,1,7,1,7,50,2,3,2,,,,,1,,1,
"Havili, D",15,1,Crusaders ,1,4,,4,5,7,41,3,5,2,,,,7,2,,,
"Macilai-Tori, J",14,1,Crusaders ,1,4,,4,,6,64,1,1,1,,,,3,1,,,
"Taufua, J",6,1,Crusaders ,1,4,1,5,,11,27,,5,1,,,,4,1,,,
"Taylor, C",2,1,Crusaders ,1,3,1,4,,3,4,,1,,,,,2,,,2,
"Wainui, S",13,1,Crusaders ,1,2,1,3,1,3,10,1,2,,,,,,1,,,
"Whitelock, S",5,1,Crusaders ,1,2,,2,,6,7,,2,,,,,2,,,1,
"Barrett, S",4,1,Crusaders ,1,1,,1,,,,,,,,,,2,1,,,
"Boys, T",7,1,Crusaders ,1,,,,,1,4,,,,,,,,,,,
"Crockett, W",17,1,Crusaders ,1,,,,,,,,,,,,,,,,1,
"Franks, O",3,1,Crusaders ,1,,,,,3,,,,,,,,,,,1,
"Funnell, B",16,0.01,Crusaders ,1,,,,,,,,,,,,,1,,,,
"Moody, J",1,1,Crusaders ,1,,,,,1,1,,1,,,,,1,,,,
"Nadolo, N",11,1,Crusaders ,1,,1,1,2,7,61,1,1,2,,,,1,3,,,
"Tupou, J",19,1,Crusaders ,1,,,,,1,,,,,,,,,,,,
"Mathewson, A",9,1,Force,1,52,1,53,1,3,,,,,,,,,3,,,
"Prior, I",21,1,Force,1,28,,28,,,,,,,,,,,,,,
"Grant, P",22,1,Force,1,18,,18,4,3,4,,1,,,,,1,1,,,
"Lance, J",10,1,Force,1,16,,16,6,9,25,3,4,1,,,,3,4,,,
"Haylett-Petty, D",15,1,Force,1,8,1,10,4,13,118,6,5,2,,,,8,2,,,
"Godwin, K",12,1,Force,1,7,,7,2,4,9,,1,,,,,2,,,,
"Cottrell, A",8,1,Force,1,5,,5,,14,16,2,5,,,,,3,3,,,
"Hodgson, M",7,1,Force,1,5,1,6,1,5,12,,,,,,,2,1,,2,
"Stander, B",6,1,Force,1,4,1,5,,5,7,1,,,,,,1,1,,1,
"Charles, N",2,1,Force,1,3,,3,,3,1,,1,,,,,4,,,,
"Cowan, P",1,1,Force,1,3,,3,,,,,,,,,,,,,,
"Tapuai, B",13,1,Force,1,3,1,4,1,6,37,2,2,1,,,,1,2,,,
"Coleman, A",5,1,Force,1,2,,3,,7,26,1,6,,,,,2,2,,1,
"Morahan, L",14,1,Force,1,2,,3,3,7,38,,1,,,,,3,2,,,
"Brache, M",11,1,Force,1,1,,2,,8,51,3,7,,,,,1,5,,2,
"Haylett-Petty, R",19,1,Force,1,1,,1,,2,10,1,2,,,,,,,1,1,
"Millar, G",3,1,Force,1,1,,1,,3,1,,1,,,,,1,,,,
"Tessmann, H",16,1,Force,1,1,,1,,3,,,,,,,,,1,,,
"Ainsley, J",18,1,Force,1,,,,,2,,,,,,,,,,,,
"Alcock, C",20,1,Force,1,,,,,1,3,,,,,,,,,,,
"Heiberg, C",17,1,Force,1,,,,,1,,,,,,,,,,,,
"Mafi, S",4,1,Force,1,,1,1,,9,23,2,3,,,,,2,1,,1,
"Smith, A",9,1,Highlanders ,1,56,1,57,6,2,10,,1,,,,,4,,,,
"Sopoaga, L",10,1,Highlanders ,1,12,,12,6,3,8,,2,,,,,3,2,,,
"Smith, B",15,1,Highlanders ,1,11,2,13,5,14,55,3,4,,,,,5,1,,,
"Faddes, M",23,1,Highlanders ,1,4,,4,,2,22,,,1,,,,,,,,
"Wheeler, J",5,1,Highlanders ,1,4,,4,,7,2,,2,,,,,5,,1,2,
"Parker, H",22,1,Highlanders ,1,3,,3,1,1,2,,1,,,,,1,1,,,
"Ainley, A",19,1,Highlanders ,1,2,,2,,3,2,,,,,,,1,,2,3,
"Dixon, E",6,1,Highlanders ,1,2,1,3,,5,14,1,2,,,,,,1,,,
"Osborne, P",11,1,Highlanders ,1,2,,2,,4,19,1,,,,,,3,1,,1,
"Walden, T",12,1,Highlanders ,1,2,1,3,,7,43,3,4,1,,,,,1,,,
"Christie, S",7,1,Highlanders ,1,1,,1,,4,12,,1,,,,,1,1,,,
"Edmonds, B",17,1,Highlanders ,1,1,,1,,1,1,,1,,,,,1,,,2,
"Fekitoa, M",13,1,Highlanders ,1,1,2,4,,10,57,1,5,,,,,2,1,,,
"Franklin, T",4,1,Highlanders ,1,1,,1,,2,6,,2,,,,,,1,,1,
"Hohneck, J",3,1,Highlanders ,1,1,,1,,2,,,,,,,,,,,,
"Naholo, W",14,1,Highlanders ,1,1,2,3,,7,43,,4,1,,,,4,2,,1,
"Pryor, D",20,1,Highlanders ,1,1,,1,,6,12,,1,,,,,3,,,,
"Squire, L",8,1,Highlanders ,1,1,,1,,3,12,1,2,,,,,,,,1,
"Coltman, L",2,1,Highlanders ,1,,,,,2,7,,2,,,,,,,,,
"Dixon, A",16,1,Highlanders ,1,,,,,1,2,,1,,,,,,1,,,
"Lienert-Brown, D",1,1,Highlanders ,1,,,,,2,,1,,,,,,1,,,,
"Renton, J",21,1,Highlanders ,1,,,,1,,,,,,,,,,,,,
"Perenara, TJ",9,1,Hurricanes ,1,61,1,62,1,4,6,1,1,,,,,1,2,,,
"Barrett, B",10,1,Hurricanes ,1,24,,24,3,4,11,,1,,,,,7,5,,,
"Gibson-Park, J",21,1,Hurricanes ,1,14,,14,,3,12,1,2,,,,,,,,,
"Jane, C",14,1,Hurricanes ,1,8,,9,,7,35,1,4,,,,,3,4,,,
"Milner-Skudder, N",15,1,Hurricanes ,1,6,,6,1,11,92,4,4,1,,,,3,1,,,
"Vito, V",8,1,Hurricanes ,1,6,,6,,6,16,1,3,,,,,3,,,,
"Black, O",22,1,Hurricanes ,1,3,,3,,,,,,,,,,,2,,,
"Savea, A",7,1,Hurricanes ,1,3,1,4,,5,19,1,2,,,,,,,,1,
"Thomson, B",4,1,Hurricanes ,1,3,,4,,5,14,1,4,,,,,1,,,,
"Allen, J",3,1,Hurricanes ,1,2,,2,,2,,,,,,,,1,,1,3,
"Aso, V",13,1,Hurricanes ,1,2,1,3,1,8,28,1,3,,,,,1,,,,
"Fifita, V",19,1,Hurricanes ,1,2,,2,,3,4,,1,,,,,,1,,,
"Halaholo, W",23,1,Hurricanes ,1,2,,2,,3,25,,2,,,,,,2,,1,
"Lauampe, N",12,1,Hurricanes ,1,2,1,3,,8,56,2,2,,,,,1,1,,,
"Savea, J",11,1,Hurricanes ,1,2,,2,1,8,47,1,2,1,,,,3,2,,,
"Shields, B",6,1,Hurricanes ,1,2,,2,,10,22,1,5,,,,,2,3,,,
"Eves, C",17,1,Hurricanes ,1,1,1,2,,4,8,,1,,,,,1,1,1,1,
"Gibbins, C",20,1,Hurricanes ,1,1,,1,,1,,,,,,,,1,,,,
"Uhila, L",18,1,Hurricanes ,1,1,,1,,2,3,,1,,,,,1,1,,2,
"Abbot, M",5,1,Hurricanes ,1,,,,,5,,1,,,,,,1,1,,,
"Apisai, L",2,1,Hurricanes ,1,,,,,3,1,,1,,,,,,2,,,
"Goodes, R",1,1,Hurricanes ,1,,,,,1,2,,1,,,,,,2,,,
"Riccitelli, R",16,1,Hurricanes ,1,,,,,3,20,,1,,,,,,1,,,
"Landajo, M",9,1,Jaguares,1,42,1,45,,7,67,4,3,2,,,,2,3,,1,
"Sanchez, N",10,1,Jaguares,1,11,,11,8,5,18,,2,,,,,2,1,,1,
"Senatore, L",8,1,Jaguares,1,9,,9,,8,19,1,5,1,,,,3,3,,,
"Cordero, S",14,1,Jaguares,1,8,2,10,3,10,74,8,5,1,,,,8,3,,,
"Lavanini, T",5,1,Jaguares,1,7,,7,1,6,9,3,2,,,,,,1,,1,
"Bertranou, G",21,1,Jaguares,1,5,,5,1,3,1,,,,,,,,,,,
"Boffelli, E",11,1,Jaguares,1,5,1,6,2,9,54,4,2,1,,,,5,,,,
"Creevy, A",2,1,Jaguares,1,4,,4,,8,27,4,8,,,,,2,2,,1,
"De La Fuente, J",12,1,Jaguares,1,3,,4,,2,8,2,1,,,,,1,,,,
"Tuculet, J",15,1,Jaguares,1,3,,3,4,10,47,3,2,1,,,,13,1,2,2,
"Matera, P",6,1,Jaguares,1,2,1,3,,16,12,,3,,,,,2,2,,1,
"Baez, R",7,1,Jaguares,1,1,,1,,5,32,,1,1,,,,1,,,,
"Gonzalez Iglesias, S",22,1,Jaguares,1,1,,1,1,3,16,2,2,,,,,,,,,
"Herrera, R",3,1,Jaguares,1,1,,1,,4,1,,,,,,,,,1,1,
"Isa, F",20,1,Jaguares,1,1,1,4,,5,20,4,3,,,,,1,3,,,
"Montoya, J",16,1,Jaguares,1,1,1,2,,3,2,,2,,,,,1,,,,
"Moroni, M",13,1,Jaguares,1,1,,1,1,1,,,,,,,,3,,,,
"Orlando, M",23,1,Jaguares,1,1,,1,,2,53,5,1,1,,,,,,,,
"Paz, LN",1,1,Jaguares,1,1,,1,,3,4,1,1,,,,,,,,,
"Alemanno, M",19,1,Jaguares,1,,1,1,1,3,3,1,1,,,,,1,,,,
"Garcia Botta, S",17,1,Jaguares,1,,1,1,,1,,,,,,,,,,,2,
"Nahuel Tetaz, F",18,1,Jaguares,1,,,1,,3,3,,,,,,,,,,,
"Petti Pagadizaval, G",4,1,Jaguares,1,,1,1,,3,22,3,1,1,,,,,,,,
"Kebe, N",9,1,Kings,1,30,,30,3,3,3,,,,,,,4,,,,
"Eksteen, L",21,1,Kings,1,19,,19,1,2,3,,,,,,,1,,1,1,
"Watts, E",10,1,Kings,1,12,1,14,5,2,1,,1,,,,,1,,,,
"Gates, S",12,1,Kings,1,9,,9,1,4,39,,1,1,,,,1,2,,2,
"Fouché, L",22,1,Kings,1,6,,6,2,,,,,,,,,,1,,,
"Marutlulle, E",16,1,Kings,1,3,,4,,8,28,1,4,,,,,3,2,,,
"Visser, J",15,1,Kings,1,3,,3,1,4,22,,,,,,,2,2,,,
"Bholi, T",7,1,Kings,1,2,,2,,8,16,1,7,,,,,1,2,,,
"Jaer, M",11,1,Kings,1,2,,2,1,3,51,1,,1,,,,1,1,,,
"Vulindlu, L",14,1,Kings,1,2,,2,,3,5,,,,,,,3,1,,,
"Astle, J",5,1,Kings,1,1,,1,,3,3,,2,,,,,,2,,,
"Cloete, C",6,1,Kings,1,1,,1,,1,,,,,,,,1,,,3,
"Engelbrecht, J",8,1,Kings,1,1,,1,,7,22,1,,,,,,4,1,,,
"Ferreira, M",2,1,Kings,1,1,,1,,5,5,,2,,,,,2,1,1,1,
"Ferreira, S",1,1,Kings,1,1,,1,,,,,,,,,,,,,,
"Oelofse, S",19,1,Kings,1,1,,1,,2,1,,1,,,,,,,,2,
"Radebe, C",23,1,Kings,1,1,,1,,4,31,,3,,,,,2,1,,,
"Velleman, C",20,1,Kings,1,1,1,2,,4,18,,3,,,,,2,,,1,
"Albertse, L",18,1,Kings,1,,,,,1,,,,,,,,,,,,
"Botha, T",3,1,Kings,1,,,,,1,,,,,,,,,,,1,
"Du Plessis, J",13,1,Kings,1,,,,,6,23,3,1,1,,,,1,3,,,
"Sithole, S",17,1,Kings,1,,,,,2,3,,2,,,,,,,,1,
"Sykes, S",4,1,Kings,1,,,,,,,,,,,,,1,,1,1,
"de Klerk, F",9,1,Lions,1,68,,68,2,3,11,,2,,,,,3,1,,,
"Jantjies, ET",10,1,Lions,1,34,,35,2,6,6,,3,,,,,2,,,,
"Whiteley, WR",8,1,Lions,1,13,,13,,10,57,4,6,1,,,,2,2,,,
"Coetzee, A",15,1,Lions,1,8,1,9,2,6,71,1,3,,,,,5,,,,
"Mnisi, H X",12,1,Lions,1,6,,7,,10,43,1,6,,,,,1,,,,
"Mapoe, L",13,1,Lions,1,4,2,6,,10,57,1,5,,,,,,1,1,1,
"Combrink, R",14,1,Lions,1,3,,3,2,11,79,,6,,,,,2,1,,,
"Mostert, F",5,1,Lions,1,3,,3,,16,49,1,7,1,,,,3,2,2,2,
"Coetzee, R",2,1,Lions,1,2,1,3,,4,2,,,,,,,1,1,,,
"Kriel, J",6,1,Lions,1,2,,2,,9,76,5,6,2,,,,3,3,1,1,
"Dreyer, RM",1,1,Lions,1,1,,1,,5,12,2,,,,,,1,,1,2,
"Ferreira, A",4,1,Lions,1,1,1,2,,9,21,1,6,,,,,2,3,,1,
"Marx, MJ",16,1,Lions,1,1,,1,,3,63,4,2,1,,,,,,,,
"Redelinghuys, J",3,1,Lions,1,1,,1,,1,,,,,,,,1,,,,
"Rensburg, R",23,1,Lions,1,1,,1,,,,,,,,,,1,,,,
"Skosan, C",11,1,Lions,1,1,,1,,7,69,4,1,1,,,,5,,,,
"Smith, D",17,1,Lions,1,1,,1,,1,4,2,1,,,,,,,,,
"Tecklenburg, W",7,1,Lions,1,1,,1,,5,15,,5,,,,,2,,,1,
"van der Walt, J",21,1,Lions,1,1,,1,,,,,,,,,,,,,,
"van Rooyen, J",18,1,Lions,1,1,,1,,2,25,,,1,,,,,,1,2,
"Vorster, H",22,1,Lions,1,1,,1,,1,3,,1,,,,,,,,,
"Ackermann, R",20,1,Lions,1,,,,,,,,,,,,,,,,1,
"Meehan, B",9,1,Rebels,1,72,1,73,13,1,10,,1,,,,,3,1,,1,
"Harris, M",10,1,Rebels,1,12,,12,1,2,1,,,,,,,3,,,,
"Ellison, T",13,1,Rebels,1,11,1,12,4,6,36,4,2,2,,,,4,3,,,
"Inman, M",12,1,Rebels,1,5,1,6,1,12,51,3,4,1,,,,3,3,,1,
"Hodge, R",15,1,Rebels,1,3,2,5,7,11,50,1,3,,,,,6,8,,,
"Jones, L",4,1,Rebels,1,3,,3,,12,19,,6,,,,,4,1,,,
"Hagan, J",18,1,Rebels,1,2,,2,,3,,,,,,,,,,1,1,
"Smith, T",1,1,Rebels,1,2,,2,,4,7,,2,,,,,,1,,1,
"Thomson, A",8,1,Rebels,1,2,2,4,,5,18,2,3,,,,,3,,,,
"English, T",11,1,Rebels,1,1,1,2,,6,27,,2,,,,,3,1,,,
"Fainga'a, C",20,1,Rebels,1,1,,1,,4,,,,,,,,2,,,,
"Hawkins, D",23,1,Rebels,1,1,,1,,1,2,1,1,,,,,,1,,,
"Leafa, P",16,1,Rebels,1,1,,1,,4,,,,,,,,,,,,
"McMahon, S",7,1,Rebels,1,1,,1,,7,22,,5,1,,,,3,,,1,
"Reid, J",6,1,Rebels,1,1,1,2,,3,15,,3,,,,,1,,,1,
"Timani, L",5,1,Rebels,1,1,1,2,,8,14,1,5,,,,,3,2,,1,
"Weeks, L",3,1,Rebels,1,1,,1,,2,,,,,,,,,,,,
"Ah-Nau, C",17,1,Rebels,1,,,,,1,1,,1,,,,,,,,,
"Cummins, S",19,1,Rebels,1,,,,,2,,,,,,,,2,,,,
"Hanson, J",2,1,Rebels,1,,1,1,,6,22,1,3,,,,,2,,,1,
"Placid, J",22,1,Rebels,1,,1,1,3,7,40,,1,,,,,4,,1,1,
"Shipperley, D",14,1,Rebels,1,,1,1,2,7,17,1,1,,,,,3,,,,
"Frisby, N",9,1,Reds,1,83,1,84,5,9,69,5,7,3,,,,4,1,,,
"McIntyre, J",10,1,Reds,1,20,,20,8,7,1,1,1,1,,,,3,5,1,1,
"Gale, S",21,1,Reds,1,7,,7,,2,1,,1,,,,,1,,,,
"Schatz, J",8,1,Reds,1,7,,7,,11,10,1,5,,,,,,1,,1,
"Hunt, K",15,1,Reds,1,6,1,7,,10,36,1,2,,,,,6,1,,,
"Fainga'a, S",2,1,Reds,1,5,,5,,3,,,,,,,,,,,2,
"Kerevi, S",13,1,Reds,1,5,,6,,13,8,1,5,,,,,2,3,,,
"Simmons, R",5,1,Reds,1,4,,4,,5,4,1,4,,,,,1,,,1,
"Taefu, H",12,1,Reds,1,4,,4,,1,,,,,,,,,,1,1,
"Tui, H",6,1,Reds,1,4,3,8,,17,53,5,5,2,,,,2,2,,,
"Browning, C",7,1,Reds,1,3,,3,,8,11,,4,,,,,2,,,,
"Daley, B",1,1,Reds,1,3,,3,,6,4,1,3,,,,,5,1,,,
"Greene, S",22,1,Reds,1,3,,3,,,,,,,,,,,,,,
"Feauai-Sautia, C",14,1,Reds,1,2,,2,,9,47,3,2,,,,,1,,1,2,
"Holmes, G",3,1,Reds,1,2,,2,,11,7,,2,,,,,2,1,,1,
"Nabuli, E",11,1,Reds,1,2,,2,,4,38,3,2,1,,,,2,2,,,
"Neville, C",4,1,Reds,1,2,,2,,7,24,,3,1,,,,,,,,
"Ready, A",16,1,Reds,1,2,,2,,1,1,,,,,,,1,,,,
"Faagase, S",17,1,Reds,1,,,,,5,3,,2,,,,,,,,,
"Goromaru, A",23,1,Reds,1,,,,1,3,14,,1,,,,,1,1,,,
"Gunn, M",20,1,Reds,1,,,,,2,2,,2,,,,,,,,,
"Matwijow, B",19,1,Reds,1,,,,,2,1,,1,,,,,1,,,,
"Talakai, S",18,1,Reds,1,,,,,1,,,,,,,,1,,,1,
"Reinach, J",9,1,Sharks,1,29,1,30,2,6,27,1,5,,,,,2,,,1,
"Claassens, M",21,1,Sharks,1,22,,22,1,,,,,,,,,,,1,2,
"Pietersen, J",10,1,Sharks,1,15,,15,6,7,71,2,2,,,,,6,3,,,
"Le Roux, W",15,1,Sharks,1,7,,8,2,8,91,2,4,2,,,,4,1,,,
"Esterhuizen, A",12,1,Sharks,1,6,1,7,,4,2,1,1,,,,,,1,,,
"Jordaan, P",13,1,Sharks,1,6,,6,1,8,57,2,7,2,,,,,2,,,
"Coetzee, M",6,1,Sharks,1,5,,5,,13,31,5,7,,,,,,2,,2,
"du Preez, D",8,1,Sharks,1,4,1,5,,10,56,3,5,1,,,,3,3,1,1,
"Van der Walt, P",20,1,Sharks,1,4,1,5,,6,31,2,4,,,,,1,,,,
"du Preez, J",7,1,Sharks,1,3,,3,,5,22,2,2,,,,,1,,,1,
"April, G",22,1,Sharks,1,2,,2,,2,16,,2,1,,,,1,1,,,
"Oosthuizen, E",4,1,Sharks,1,2,,2,,2,3,,1,,,,,,,,4,
"Adriaanse, L",18,1,Sharks,1,1,,1,,,,,,,,,,,,,,
"Marais, F",2,1,Sharks,1,1,1,2,,8,39,,4,,,,,1,1,,,
"McDulling, D",19,1,Sharks,1,1,,1,,2,13,1,2,,,,,2,,,,
"Mtawarira, T",1,1,Sharks,1,1,,1,,3,7,,3,,,,,,,,1,
"Ndungane, O",14,1,Sharks,1,1,,1,,6,47,3,2,2,,,,3,2,,1,
"Oosthuizen, Coe",3,1,Sharks,1,1,,1,,3,8,,2,,,,,,,,,
"Andrews, H",5,1,Sharks,1,,,,,3,4,,,,,,,1,1,,1,
"Cooper, KL",16,1,Sharks,1,,,,,2,3,,2,,,,,,,,,
"Mvovo, L",11,1,Sharks,1,,,,,7,78,3,3,2,,,,1,,,,
"Schoeman, J",17,1,Sharks,1,,,,,1,5,,1,,,,,,,,,
"Sithole, S",23,1,Sharks,1,,,,,1,10,,1,,,,,,,,,
"Hiwasa, A",9,1,Sunwolves,1,79,,79,1,,,,,,,,,,1,,,
"Pisi, T",10,1,Sunwolves,1,27,2,29,2,6,21,1,3,,,,,3,,,1,
"Tamura, Y",12,1,Sunwolves,1,14,,14,3,4,11,,3,,,,,2,1,,,
"Horie, S",2,1,Sunwolves,1,7,1,8,,8,12,,4,,,,,2,2,,,
"Tatekawa, H",13,1,Sunwolves,1,7,,7,,12,23,3,7,,,,,1,,,1,
"Moli, L",6,1,Sunwolves,1,5,,5,,7,13,1,3,1,,,,2,1,,,
