Team,Round,kicksTerritorialTot,kicksTerritorialDist,kicksTerritorialAvg,kicksBombTot,kicksBombDist,kicksBoxTot,kicksBoxDist,kicksChipTot,kicksChipDist,kicksCrossFieldTot,kicksCrossFieldDist,kicksLowTot,kicksLowDist,kicksChgdDown,kicksTotal,kicksTotalDist
Brumbies,9,11,418,38,3,75,7,155,1,12,,,4,96,,26,756
Waratahs,10,13,446,34.3,4,135,,,,,1,59,3,56,2,21,696
Stormers,10,13,497,38.2,7,174,2,37,3,53,1,4,3,74,,29,839
Sharks,10,24,945,39.4,3,81,2,25,,,,,3,63,,32,1114
Reds,10,13,433,33.3,1,11,3,68,,,,,2,34,1,19,546
Rebels,10,5,155,31,2,66,3,59,,,1,17,2,36,,13,333
Lions,10,11,513,46.6,1,26,2,27,3,58,,,2,9,,19,633
Kings,10,5,201,40.2,2,54,2,51,2,34,,,1,1,1,12,341
Jaguares,10,10,454,45.4,,,1,27,1,11,,,4,79,1,16,571
Hurricanes,10,14,577,41.2,,,3,128,3,36,2,40,5,81,,27,862
Highlanders,10,11,361,32.8,4,97,4,76,6,148,,,3,53,1,28,735
Force,10,13,543,41.8,2,60,1,41,2,43,,,3,93,,21,780
Chiefs,10,18,707,39.3,4,126,1,37,1,18,,,2,41,,26,929
Cheetahs,10,7,295,42.1,,,1,9,2,71,,,2,17,1,12,392
Bulls,10,15,534,35.6,1,33,3,72,1,19,,,1,8,,21,666
Brumbies,10,7,275,39.3,3,58,5,122,3,36,,,3,64,,21,555
Blues,10,7,231,33,,,4,112,,,1,12,1,11,,13,366
Waratahs,11,21,684,32.6,2,63,4,94,1,22,,,3,5,2,31,868
Sunwolves,11,8,298,37.3,2,55,1,36,1,22,,,,,,12,411
Sharks,11,22,820,37.3,4,98,4,112,2,48,,,1,39,1,33,1117
Reds,11,11,359,32.6,2,53,5,103,2,41,3,18,1,22,,24,596
Hurricanes,11,13,539,41.5,1,57,5,139,,,,,5,100,1,24,835
Highlanders,11,12,401,33.4,7,173,9,237,,,,,4,87,,32,898
Force,11,17,726,42.7,2,43,,,1,17,1,16,1,41,,22,843
