Team,Round,points,tries,conversions,penaltyGoals,goalKickPercentage,dropGoals
Bulls,11,6,,,2,100,
Brumbies,11,23,2,2,3,83.3,
Kings,11,18,2,1,2,75,
Blues,11,34,5,3,1,66.7,
Waratahs,12,31,4,4,1,83.3,
Sunwolves,12,17,1,,4,57.1,
Stormers,12,17,2,2,1,100,
Sharks,12,25,1,1,6,87.5,
Reds,12,14,1,,3,75,
Rebels,12,22,3,2,1,50,
Lions,12,43,7,4,,50,
Jaguares,12,22,3,2,1,60,
Hurricanes,12,29,5,2,,33.3,
Highlanders,12,34,5,3,1,66.7,
Crusaders,12,26,2,2,4,100,
Bulls,12,8,1,,1,50,
Brumbies,12,30,5,1,1,28.6,
Blues,12,5,1,,,,
Kings,12,20,2,2,2,100,
Cheetahs,12,34,4,4,2,100,
Waratahs,13,10,2,,,,
Sunwolves,13,25,3,2,2,57.1,
Stormers,13,13,1,1,2,60,
Sharks,13,53,8,5,1,66.7,
Reds,13,35,4,3,3,85.7,
Rebels,13,15,2,1,1,50,
Lions,13,52,8,3,2,41.7,
Jaguares,13,24,2,1,4,83.3,
Force,13,13,1,1,2,100,
Crusaders,13,29,4,3,1,66.7,
Chiefs,13,36,5,4,1,83.3,
Bulls,13,17,1,,3,60,1
Blues,13,17,2,2,1,75,
Waratahs,14,45,6,6,1,77.8,
Sunwolves,14,5,1,,,,
Stormers,14,31,3,2,4,75,
Rebels,14,27,4,2,1,42.9,
Lions,14,56,7,6,3,75,
Kings,14,29,4,3,1,66.7,
Jaguares,14,22,1,1,5,100,
Hurricanes,14,27,3,3,2,83.3,
Highlanders,14,20,2,2,2,80,
Force,14,22,3,2,1,60,
Crusaders,14,26,2,2,4,85.7,
Chiefs,14,25,4,1,1,33.3,
Cheetahs,14,24,2,1,4,71.4,
Bulls,14,20,3,1,1,40,
Brumbies,14,66,10,8,,80,
Blues,14,21,2,1,3,66.7,
Blues,15,27,3,3,2,83.3,
Brumbies,15,43,6,5,1,85.7,
Bulls,15,11,1,,2,50,
Cheetahs,15,30,4,2,2,66.7,
Chiefs,15,23,2,2,3,83.3,
Crusaders,15,13,1,1,2,100,
Force,15,29,3,1,4,62.5,
Highlanders,15,48,7,5,1,75,
Hurricanes,15,37,4,4,3,100,
Jaguares,15,29,3,1,4,62.5,
Kings,15,18,2,1,2,60,
Lions,15,37,5,3,2,71.4,
Rebels,15,31,4,4,1,83.3,
Reds,15,24,3,3,1,100,
Sharks,15,10,2,,,,
Stormers,15,57,7,5,4,81.8,
Sunwolves,15,12,,,4,100,
Waratahs,15,57,9,6,,66.7,
Blues,16,40,6,5,,83.3,
Brumbies,16,15,2,1,1,66.7,
Bulls,16,50,7,6,1,87.5,
Cheetahs,16,10,1,1,1,50,
Chiefs,16,50,8,5,,62.5,
Crusaders,16,85,13,10,,76.9,
Force,16,3,,,1,33.3,
Highlanders,16,34,4,4,2,100,
Hurricanes,16,28,3,2,3,71.4,
Jaguares,16,8,1,,1,50,
Kings,16,21,3,3,,75,
Lions,16,57,8,7,1,88.9,
Rebels,16,26,4,3,,75,
Reds,16,5,1,,,,
Sharks,16,26,2,2,4,100,
Stormers,16,22,3,2,1,75,
Sunwolves,16,3,,,1,100,
Waratahs,16,17,2,2,1,100,
Blues,17,34,5,3,1,66.7,
Brumbies,17,24,3,3,1,100,
Bulls,17,43,5,3,4,77.8,
Cheetahs,17,17,2,2,1,100,
Chiefs,17,15,2,1,1,50,
Crusaders,17,10,1,1,1,50,
Force,17,10,1,1,1,100,
Highlanders,17,25,3,2,2,66.7,
Hurricanes,17,35,5,5,,100,
Jaguares,17,34,3,2,5,77.8,
Kings,17,24,3,3,1,100,
Lions,17,22,3,2,1,75,
Rebels,17,31,4,4,1,71.4,
Reds,17,28,4,4,,100,
Sharks,17,40,6,5,,83.3,
Stormers,17,52,8,6,,75,
Sunwolves,17,29,4,3,1,80,
Waratahs,17,28,4,4,,100,
Brumbies,18,9,,,3,60,
Chiefs,18,60,8,7,2,90,
Crusaders,18,25,3,2,2,80,
Highlanders,18,15,2,1,1,40,
Hurricanes,18,41,6,4,1,71.4,
Lions,18,42,5,4,2,75,1
Stormers,18,21,3,3,,100,
