Team,Round,nrPasses,nrOffloads,passesTotal,kicksInPlay,carriesRuns,carriesMtrsMade,carriesNrTimesDefenceBeaten,carriesGainLine,carriesLinebreaks,carriesTkld,ballToRuckMaul,nrRuckInvolvement,ruckEff,ruckInEff,rcvs,turnOverInPos,PFinAttack,PFTotal,kickToPassPercentage,metresMadePerCarry,ballToRuckPerc,attackTotalPoss,turnOverConcededPerc
Bulls,14,59,6,66,18,60,189,4,13,3,51,48,95,11,106,28,15,3,13,30.51,3.2,80.00,37,40.54
Brumbies,14,174,6,185,30,137,747,29,53,15,99,90,148,40,188,50,17,1,6,17.24,5.5,65.69,57,29.82
Blues,14,120,4,125,25,95,347,17,43,5,83,74,150,34,184,28,13,5,12,20.83,3.7,77.89,45,28.89
Blues,15,215,18,238,19,174,707,36,71,12,158,129,255,47,302,45,20,2,6,8.84,4.1,74.14,46,43.48
Brumbies,15,186,7,195,21,136,649,29,58,11,120,111,186,59,245,34,23,3,11,11.29,4.8,81.62,50,46.00
Bulls,15,83,3,86,23,88,268,12,32,1,88,80,110,74,184,33,22,1,11,27.71,3.0,90.91,47,46.81
Cheetahs,15,204,15,225,26,155,624,37,52,9,119,94,180,53,233,45,20,1,7,12.75,4.0,60.65,50,40.00
Chiefs,15,98,7,109,32,86,381,15,31,6,74,58,82,50,132,46,12,,9,32.65,4.4,67.44,49,24.49
Crusaders,15,125,8,135,30,100,473,11,25,8,83,69,96,58,154,47,22,1,6,24.00,4.7,69.00,52,42.31
Force,15,129,5,137,33,114,576,31,45,6,86,80,169,26,195,36,14,1,6,25.58,5.1,70.18,46,30.43
Highlanders,15,160,8,172,35,128,560,27,54,15,96,71,101,40,141,50,24,,4,21.88,4.4,55.47,58,41.38
Hurricanes,15,106,8,116,25,90,382,25,31,12,72,59,118,20,138,27,13,2,9,23.58,4.2,65.56,38,34.21
Jaguares,15,85,1,88,28,75,252,15,31,5,65,58,79,61,140,40,11,4,14,32.94,3.4,77.33,49,22.45
Kings,15,167,8,176,40,122,313,15,43,7,116,97,130,70,200,53,13,4,10,23.95,2.6,79.51,53,24.53
Lions,15,136,10,146,23,116,616,22,50,12,90,74,139,11,150,44,21,,8,16.91,5.3,63.79,46,45.65
Rebels,15,169,8,178,16,127,457,18,44,6,112,94,145,63,208,29,18,,9,9.47,3.6,74.02,33,54.55
Reds,15,117,7,127,20,99,379,15,41,6,86,73,120,47,167,39,22,3,8,17.09,3.8,73.74,45,48.89
Sharks,15,125,8,133,23,107,389,17,41,7,89,73,144,15,159,32,19,2,8,18.40,3.6,68.22,45,42.22
Stormers,15,117,9,126,24,103,489,13,39,5,84,72,116,56,172,29,14,2,5,20.51,4.7,69.90,46,30.43
Sunwolves,15,155,5,165,10,119,393,17,41,9,100,86,173,44,217,27,13,3,8,6.45,3.3,72.27,34,38.24
Waratahs,15,138,6,149,8,124,709,40,54,16,106,78,140,26,166,30,19,,6,5.80,5.7,62.90,36,52.78
Blues,16,175,13,190,21,134,631,26,51,15,112,88,131,65,196,35,15,3,12,12.00,4.7,65.67,45,33.33
Brumbies,16,93,6,99,22,79,178,10,35,2,63,67,113,33,146,28,15,3,6,23.66,2.3,84.81,39,38.46
Bulls,16,137,12,149,16,103,660,34,45,9,88,74,134,37,171,33,17,5,13,11.68,6.4,71.84,43,39.53
Cheetahs,16,120,4,125,27,89,268,10,36,3,76,66,113,19,132,35,27,,7,22.50,3.0,74.16,53,50.94
Chiefs,16,124,16,142,17,102,651,28,36,20,72,47,58,30,88,27,18,2,10,13.71,6.4,46.08,44,40.91
Crusaders,16,176,11,197,19,126,830,32,45,20,90,67,149,8,157,46,15,2,11,10.80,6.6,53.17,47,31.91
Force,16,127,4,131,38,113,358,13,45,3,105,101,230,47,277,51,15,3,13,29.92,3.2,89.38,62,24.19
Highlanders,16,142,20,163,21,105,498,27,34,9,90,59,85,28,113,44,25,1,12,14.79,4.7,56.19,44,56.82
Hurricanes,16,133,6,144,33,106,431,22,32,13,82,62,113,41,154,37,16,,8,24.81,4.1,58.49,52,30.77
Jaguares,16,139,9,149,21,121,401,24,38,11,96,87,136,32,168,43,15,3,8,15.11,3.3,71.90,50,30.00
Kings,16,94,8,103,15,80,212,12,29,5,74,58,96,27,123,29,20,3,14,15.96,2.7,72.50,39,51.28
Lions,16,145,15,166,11,139,876,43,58,16,110,94,169,44,213,31,21,3,8,7.59,6.3,67.63,45,46.67
Rebels,16,142,7,153,13,136,649,10,58,7,109,94,199,11,210,32,22,1,4,9.15,4.8,69.12,43,51.16
Reds,16,114,6,121,14,100,249,14,34,4,95,81,137,76,213,31,22,2,6,12.28,2.5,81.00,37,59.46
Sharks,16,59,5,65,35,79,353,8,26,7,69,54,93,31,124,38,17,5,14,59.32,4.5,68.35,53,32.08
Stormers,16,90,2,93,48,89,363,15,34,5,70,74,142,50,192,63,19,3,9,53.33,4.1,83.15,71,26.76
Sunwolves,16,183,6,192,15,118,390,16,43,2,104,90,164,39,203,35,22,,5,8.20,3.3,76.27,44,50.00
Waratahs,16,120,6,129,21,118,396,25,50,6,105,96,196,31,227,43,17,3,9,17.50,3.4,81.36,48,35.42
Blues,17,107,5,113,26,84,279,21,34,9,76,62,104,33,137,36,14,2,13,24.30,3.3,73.81,42,33.33
Brumbies,17,171,7,180,27,138,526,17,50,8,117,106,190,60,250,38,16,2,4,15.79,3.8,76.81,45,35.56
Bulls,17,69,7,78,21,71,407,32,32,10,65,56,73,40,113,32,13,3,10,30.43,5.7,78.87,40,32.50
Cheetahs,17,111,12,125,13,93,392,24,33,8,76,65,88,55,143,26,21,3,13,11.71,4.2,69.89,37,56.76
Chiefs,17,122,7,132,17,112,356,19,45,7,108,88,163,63,226,35,17,2,10,13.93,3.2,78.57,36,47.22
Crusaders,17,126,10,136,24,109,394,11,38,9,93,73,134,50,184,34,21,3,8,19.05,3.6,66.97,47,44.68
Force,17,161,7,168,25,135,530,26,45,5,121,115,197,60,257,39,19,5,14,15.53,3.9,85.19,41,46.34
Highlanders,17,134,16,150,19,134,470,28,55,9,117,89,181,37,218,35,11,3,6,14.18,3.5,66.42,37,29.73
Hurricanes,17,185,6,191,20,161,466,16,71,9,137,126,189,67,256,39,20,3,8,10.81,2.9,78.26,47,42.55
Jaguares,17,114,8,124,11,93,464,29,36,8,81,70,96,60,156,32,16,2,10,9.65,5.0,75.27,44,36.36
Kings,17,131,1,133,23,98,328,11,46,4,85,81,128,46,174,35,18,,10,17.56,3.3,82.65,44,40.91
Lions,17,134,5,141,13,99,419,20,44,7,90,79,113,66,179,23,19,3,18,9.70,4.2,79.80,32,59.38
Rebels,17,127,7,135,21,97,462,20,44,9,87,78,111,57,168,37,17,8,18,16.54,4.8,80.41,43,39.53
Reds,17,193,11,208,11,147,559,28,78,9,145,122,176,113,289,36,20,4,10,5.70,3.8,82.99,44,45.45
Sharks,17,120,3,126,30,114,666,22,55,10,90,78,139,53,192,43,20,1,10,25.00,5.8,68.42,49,40.82
Stormers,17,148,15,166,27,122,681,28,50,17,107,85,166,55,221,46,13,5,13,18.24,5.6,69.67,49,26.53
Sunwolves,17,188,4,193,27,142,477,25,67,6,124,118,227,72,299,55,15,4,5,14.36,3.4,83.10,54,27.78
Waratahs,17,125,15,140,16,118,425,11,44,5,104,87,138,43,181,31,15,4,10,12.80,3.6,73.73,42,35.71
Brumbies,18,89,1,93,33,89,194,19,27,5,74,80,126,36,162,45,12,1,10,37.08,2.2,89.89,49,24.49
Chiefs,18,137,7,144,26,100,555,17,41,12,72,61,91,44,135,47,14,1,8,18.98,5.6,61.00,45,31.11
Crusaders,18,207,17,228,19,130,598,21,46,9,106,81,142,56,198,43,17,1,9,9.18,4.6,62.31,44,38.64
Highlanders,18,138,7,146,28,113,424,17,48,8,90,79,151,35,186,35,17,3,13,20.29,3.8,69.91,51,33.33
Hurricanes,18,79,6,88,37,110,504,26,33,8,81,64,135,29,164,49,15,4,11,46.84,4.6,58.18,59,25.42
Lions,18,105,5,110,29,88,579,23,36,7,74,71,134,38,172,38,15,1,7,27.62,6.6,80.68,48,31.25
Sharks,18,62,4,66,38,97,247,7,46,2,80,77,159,19,178,48,22,5,10,61.29,2.5,79.38,56,39.29
Stormers,18,175,8,186,20,130,519,25,61,8,126,101,173,73,246,33,17,2,6,11.43,4.0,77.69,43,39.53
