Team,Round,nrPasses,nrOffloads,passesTotal,kicksInPlay,carriesRuns,carriesMtrsMade,carriesNrTimesDefenceBeaten,carriesGainLine,carriesLinebreaks,carriesTkld,ballToRuckMaul,nrRuckInvolvement,ruckEff,ruckInEff,rcvs,turnOverInPos,PFinAttack,PFTotal,kickToPassPercentage,metresMadePerCarry,ballToRuckPerc,attackTotalPoss,turnOverConcededPerc
Force,3,121,5,126,20,97,295,18,43,5,91,88,151,26,177,32,12,6,17,16.53,3.0,90.72,35,34.29
Chiefs,3,151,6,160,11,116,744,29,59,12,88,74,135,11,146,38,22,1,14,7.28,6.4,63.79,42,52.38
Cheetahs,3,95,8,105,23,108,454,23,43,7,86,83,146,12,158,44,19,2,7,24.21,4.2,76.85,45,42.22
Brumbies,3,184,5,190,20,125,365,21,45,9,113,105,194,25,219,32,18,4,12,10.87,2.9,84.00,45,40.00
Blues,3,164,11,176,19,163,534,36,76,14,149,128,247,55,302,33,16,3,10,11.59,3.3,78.53,43,37.21
Waratahs,4,201,16,220,29,157,634,30,52,14,130,111,219,36,255,54,22,2,4,14.43,4.0,70.70,55,40.00
Sunwolves,4,150,7,157,21,111,378,11,41,6,94,89,137,73,210,31,16,5,14,14.00,3.4,80.18,38,42.11
Stormers,4,106,6,112,30,83,315,15,34,8,74,63,117,34,151,28,11,1,5,28.30,3.8,75.90,41,26.83
Sharks,4,74,1,76,29,61,244,17,17,4,51,52,65,82,147,33,17,4,13,39.19,4.0,85.25,41,41.46
Reds,4,109,5,114,16,86,399,16,23,5,73,72,155,24,179,32,17,2,7,14.68,4.6,83.72,39,43.59
Rebels,4,136,7,145,30,101,457,28,34,7,81,69,103,57,160,46,17,3,6,22.06,4.5,68.32,50,34.00
Lions,4,145,6,153,25,115,543,36,53,8,95,88,164,28,192,47,16,3,12,17.24,4.7,76.52,44,36.36
Kings,4,111,3,114,19,87,230,7,25,4,83,85,184,22,206,28,10,4,9,17.12,2.6,97.70,41,24.39
Jaguares,4,136,16,154,11,111,484,19,49,9,104,80,129,44,173,32,16,4,12,8.09,4.4,72.07,35,45.71
Hurricanes,4,191,12,204,23,158,811,35,69,16,125,101,157,46,203,46,14,3,10,12.04,5.1,63.92,48,29.17
Highlanders,4,95,3,99,38,86,452,18,25,8,61,47,91,21,112,48,18,2,11,40.00,5.3,54.65,52,34.62
Force,4,128,7,136,20,92,320,15,28,4,84,83,142,41,183,30,15,3,9,15.63,3.5,90.22,44,34.09
Crusaders,4,134,12,146,19,84,658,22,34,13,65,47,107,9,116,32,13,1,11,14.18,7.8,55.95,38,34.21
Chiefs,4,143,11,157,9,115,514,18,48,7,99,71,142,37,179,30,17,2,10,6.29,4.5,61.74,34,50.00
Cheetahs,4,102,9,112,13,92,297,14,32,2,80,73,92,26,118,34,20,3,7,12.75,3.2,79.35,39,51.28
Bulls,4,100,1,101,22,99,339,21,38,2,92,83,115,107,222,39,21,3,10,22.00,3.4,83.84,48,43.75
Brumbies,4,127,3,130,24,74,303,23,16,7,72,57,123,42,165,39,14,3,9,18.90,4.1,77.03,41,34.15
Blues,4,180,6,186,21,128,468,11,64,8,107,96,191,19,210,31,18,1,14,11.67,3.7,75.00,38,47.37
Waratahs,5,92,8,105,27,72,379,16,26,7,58,47,60,54,114,44,18,3,17,29.35,5.3,65.28,44,40.91
Sunwolves,5,79,3,82,19,52,304,8,11,7,37,31,52,17,69,24,14,6,18,24.05,5.8,59.62,30,46.67
Stormers,5,94,4,99,24,69,234,22,22,5,60,54,118,50,168,35,12,5,15,25.53,3.4,78.26,40,30.00
Sharks,5,49,1,52,35,49,205,6,12,3,48,40,94,64,158,37,11,6,10,71.43,4.2,81.63,52,21.15
Reds,5,138,16,157,22,122,410,20,37,7,109,90,126,107,233,40,27,6,8,15.94,3.4,73.77,54,50.00
Rebels,5,151,2,156,21,111,306,11,41,5,106,99,166,74,240,31,19,4,8,13.91,2.8,89.19,39,48.72
Kings,5,100,2,102,14,86,301,13,41,4,76,73,138,13,151,25,13,2,12,14.00,3.5,84.88,34,38.24
Jaguares,5,162,7,175,16,144,497,32,50,7,136,115,222,57,279,42,25,3,12,9.88,3.5,79.86,41,60.98
Hurricanes,5,170,8,179,15,133,740,34,53,16,94,78,147,17,164,31,17,2,9,8.82,5.6,58.65,45,37.78
Highlanders,5,107,7,115,33,89,338,12,43,1,83,68,103,56,159,43,16,3,10,30.84,3.8,76.40,44,36.36
Force,5,127,10,137,25,93,376,13,33,7,83,79,146,50,196,31,20,2,6,19.69,4.0,84.95,43,46.51
Crusaders,5,195,15,215,29,107,554,14,34,11,93,73,135,44,179,51,17,3,11,14.87,5.2,68.22,53,32.08
Chiefs,5,153,13,166,29,123,601,22,50,13,88,65,90,49,139,43,18,1,5,18.95,4.9,52.85,48,37.50
Cheetahs,5,104,5,111,12,77,371,14,30,7,73,68,87,60,147,28,22,4,14,11.54,4.8,88.31,41,53.66
Bulls,5,105,3,108,19,90,333,20,40,6,84,81,143,37,180,28,19,4,9,18.10,3.7,90.00,42,45.24
Brumbies,5,86,12,100,18,73,207,10,26,6,63,50,73,36,109,32,13,3,17,20.93,2.8,68.49,37,35.14
Waratahs,6,193,13,206,19,147,632,21,60,8,116,96,120,104,224,49,21,5,12,9.84,4.3,65.31,49,42.86
Sunwolves,6,179,9,190,15,142,437,22,57,8,126,103,209,77,286,28,17,5,11,8.38,3.1,72.54,43,39.53
Rebels,6,121,8,129,20,119,359,24,48,7,114,93,141,87,228,31,20,2,7,16.53,3.0,78.15,39,51.28
Lions,6,110,10,122,19,112,427,29,52,7,104,90,110,85,195,38,13,2,6,17.27,3.8,80.36,39,33.33
Kings,6,96,5,101,17,76,311,16,34,6,68,55,86,56,142,33,24,1,12,17.71,4.1,72.37,39,61.54
Jaguares,6,109,2,111,21,92,368,19,33,8,76,68,127,14,141,31,16,5,13,19.27,4.0,73.91,39,41.03
Highlanders,6,127,17,144,33,135,636,32,44,14,103,72,144,10,154,40,23,2,6,25.98,4.7,53.33,57,40.35
Force,6,147,8,155,34,141,430,15,55,10,127,111,227,15,242,39,15,2,6,23.13,3.0,78.72,51,29.41
Crusaders,6,122,7,129,20,82,409,19,31,10,75,52,66,54,120,33,10,3,13,16.39,5.0,63.41,36,27.78
Chiefs,6,113,6,120,20,82,493,22,32,10,63,59,87,58,145,34,11,3,11,17.70,6.0,71.95,44,25.00
Cheetahs,6,111,10,123,11,76,313,11,27,6,61,57,96,26,122,31,19,3,12,9.91,4.1,75.00,37,51.35
Bulls,6,109,8,119,23,114,311,21,43,8,106,98,161,73,234,38,17,6,12,21.10,2.7,85.96,42,40.48
Brumbies,6,99,5,106,13,82,362,16,29,8,68,59,90,58,148,32,19,2,9,13.13,4.4,71.95,36,52.78
Blues,6,143,10,153,19,118,360,25,50,9,107,91,191,15,206,29,13,3,13,13.29,3.1,77.12,37,35.14
Sunwolves,7,162,6,169,15,126,515,30,56,14,116,103,197,54,251,28,16,3,11,9.26,4.1,81.75,37,43.24
Stormers,7,128,11,142,22,110,665,31,44,18,82,61,89,41,130,43,13,3,12,17.19,6.0,55.45,41,31.71
Sharks,7,133,8,144,18,115,421,20,35,8,99,80,176,74,250,39,27,2,14,13.53,3.7,69.57,38,71.05
Reds,7,110,9,121,30,111,616,29,28,14,91,72,133,65,198,54,17,2,9,27.27,5.5,64.86,53,32.08
Lions,7,128,5,134,24,92,255,19,32,6,83,70,145,29,174,37,17,2,6,18.75,2.8,76.09,46,36.96
Kings,7,147,3,151,17,111,407,13,53,5,106,101,158,56,214,35,20,6,10,11.56,3.7,90.99,44,45.45
Jaguares,7,88,4,92,10,84,353,18,41,5,71,76,117,27,144,23,21,3,10,11.36,4.2,90.48,39,53.85
Hurricanes,7,151,7,159,19,123,428,27,60,7,101,92,156,24,180,33,12,2,8,12.58,3.5,74.80,40,30.00
Highlanders,7,154,15,170,28,124,503,20,38,10,91,74,128,34,162,59,20,3,7,18.18,4.1,59.68,52,38.46
Force,7,91,5,97,34,94,350,6,32,3,78,69,126,13,139,41,15,4,11,37.36,3.7,73.40,48,31.25
Crusaders,7,178,16,194,27,127,494,23,42,12,99,81,164,28,192,47,23,4,9,15.17,3.9,63.78,59,38.98
Chiefs,7,135,14,150,26,121,529,17,61,15,102,82,156,21,177,40,20,3,10,19.26,4.4,67.77,41,48.78
Bulls,7,134,20,155,26,117,486,18,45,8,95,73,133,29,162,41,15,3,13,19.40,4.2,62.39,45,33.33
Blues,7,212,6,223,18,126,676,36,44,12,107,95,191,39,230,44,18,3,4,8.49,5.4,75.40,49,36.73
Waratahs,8,154,14,170,20,124,492,24,39,8,109,89,160,55,215,37,13,2,8,12.99,4.0,71.77,47,27.66
Sunwolves,8,141,5,154,8,97,389,20,44,6,98,74,98,76,174,39,25,,7,5.67,4.0,76.29,34,73.53
Stormers,8,104,7,111,17,89,326,16,32,1,71,64,120,33,153,30,17,4,12,16.35,3.7,71.91,42,40.48
Sharks,8,72,11,83,30,69,293,10,20,5,57,47,83,48,131,39,13,,10,41.67,4.2,68.12,43,30.23
Reds,8,138,3,141,24,88,282,11,32,4,82,65,137,43,180,32,15,2,8,17.39,3.2,73.86,43,34.88
Rebels,8,132,3,136,11,100,282,15,43,7,101,89,202,28,230,26,12,2,7,8.33,2.8,89.00,29,41.38
Lions,8,138,7,149,19,115,368,25,40,9,99,93,191,17,208,33,17,2,10,13.77,3.2,80.87,40,42.50
Jaguares,8,123,7,130,25,126,308,19,56,5,106,97,190,42,232,33,26,3,14,20.33,2.4,76.98,44,59.09
Hurricanes,8,174,10,185,10,140,629,28,58,11,120,98,176,59,235,34,10,8,14,5.75,4.5,70.00,37,27.03
Crusaders,8,146,15,164,22,115,619,29,44,15,79,64,134,49,183,40,23,3,9,15.07,5.4,55.65,48,47.92
Cheetahs,8,150,8,159,21,107,756,26,43,17,82,66,80,48,128,47,17,1,6,14.00,7.1,61.68,47,36.17
Bulls,8,153,10,164,29,137,540,29,52,9,123,98,159,50,209,42,14,3,5,18.95,3.9,71.53,50,28.00
Brumbies,8,81,5,86,23,74,286,18,22,6,56,48,86,36,122,32,15,1,13,28.40,3.9,64.86,40,37.50
Blues,8,229,9,240,26,157,608,39,65,12,156,129,246,117,363,44,17,1,5,11.35,3.9,82.17,52,32.69
Waratahs,9,131,4,135,36,116,591,21,44,11,82,68,,,,50,15,,7,27.48,5.1,58.62,57,26.32
Sunwolves,9,145,5,150,26,121,484,25,46,14,100,89,200,36,236,43,20,2,6,17.93,4.0,73.55,50,40.00
Stormers,9,122,11,133,27,114,510,28,36,12,108,84,144,73,217,42,16,1,5,22.13,4.5,73.68,50,32.00
Sharks,9,113,8,121,29,96,296,8,30,4,72,65,116,17,133,30,17,3,12,25.66,3.1,67.71,42,40.48
Reds,9,150,10,163,20,109,486,22,43,9,105,86,155,70,225,36,20,3,10,13.33,4.5,78.90,45,44.44
Rebels,9,124,3,131,22,116,479,16,50,4,102,96,160,59,219,35,15,6,12,17.74,4.1,82.76,42,35.71
Lions,9,172,7,182,11,128,578,27,61,11,110,96,179,54,233,34,19,1,8,6.40,4.5,75.00,42,45.24
Kings,9,71,6,81,8,66,253,16,26,3,61,39,78,23,101,22,21,1,11,11.27,3.8,59.09,30,70.00
Jaguares,9,110,4,114,35,92,435,28,36,12,78,72,130,25,155,45,15,5,11,31.82,4.7,78.26,46,32.61
Hurricanes,9,156,9,167,19,135,501,24,66,11,126,102,184,54,238,33,19,1,4,12.18,3.7,75.56,47,40.43
Highlanders,9,121,10,131,22,115,406,16,52,6,104,81,155,10,165,35,22,1,10,18.18,3.5,70.43,45,48.89
Force,9,124,6,135,28,105,386,20,34,8,84,73,,,,44,17,,7,22.58,3.7,69.52,51,33.33
Crusaders,9,126,7,135,26,89,450,25,31,13,72,62,91,46,137,37,17,1,9,20.63,5.1,69.66,46,36.96
Chiefs,9,90,7,100,18,77,384,20,33,7,69,61,104,40,144,29,19,2,10,20.00,5.0,79.22,37,51.35
Cheetahs,9,123,14,139,13,98,419,9,35,4,74,71,107,46,153,35,21,4,15,10.57,4.3,72.45,38,55.26
Brumbies,9,191,6,198,26,134,452,16,47,9,113,104,193,45,238,41,17,6,11,13.61,3.4,77.61,50,34.00
Waratahs,10,113,6,122,21,94,365,17,28,10,84,61,115,36,151,29,16,1,10,18.58,3.9,64.89,38,42.11
Stormers,10,141,5,148,29,114,347,31,38,8,106,94,153,104,257,50,13,5,8,20.57,3.0,82.46,44,29.55
