Team,Round,triesFromOwnLO,triesFromOwnScrum,triesFrom50mRecpt,triesFrom22mRecpt,triesTotalFromStructured,triesFromKickRecpt,triesFromTap,triesFromPenFreeKick,triesFromUTO,triesFromOppLO,triesFromOppScrum,triesFromOppRestart,triesFromOther,triesTotalFromUnstructured,triesTotal,triesFromAttack,triesFromTurnOvers
Hurricanes,7,2,,1,,3,,,,2,,1,,,3,6,3,3
Highlanders,7,2,,,,2,,,,1,,,,,1,3,2,1
Western Force,7,,,,,,,,,1,,,,,1,1,0,1
Crusaders,7,2,1,,,3,,,,,,,,,,3,3,0
Chiefs,7,2,2,,,4,,,,,1,,,,1,5,4,1
Bulls,7,2,1,,,3,,,,3,,,,,3,6,3,3
Blues,7,,,1,,1,1,,,,,,,,1,2,2,0
Waratahs,8,,1,,,1,1,,,,,,,,1,2,2,0
Sunwolves,8,,,,,,,2,,,,,,,2,2,2,0
Stormers,8,1,,,,1,,,,,,,,,,1,1,0
Sharks,8,1,,,,1,,,,1,,,,,1,2,1,1
Reds,8,1,1,,,2,,,,1,,,,,1,3,2,1
Rebels,8,,1,,,1,1,,,,,,,,1,2,2,0
Lions,8,1,,,,1,,1,,,,,,,1,2,2,0
Jaguares,8,1,,,,1,,1,,,,,,,1,2,2,0
Hurricanes,8,1,1,,,2,1,,,3,,,,,4,6,3,3
Crusaders,8,1,1,,,2,1,,,2,,,,,3,5,3,2
Cheetahs,8,3,1,1,,5,1,1,,5,2,,,,9,14,7,7
Bulls,8,4,,,,4,,1,,,,,,,1,5,5,0
Brumbies,8,2,,,,2,1,,,,1,,,,2,4,3,1
Blues,8,1,,,,1,1,,,,,,,,1,2,2,0
Waratahs,9,4,1,,,5,1,,,,,,,,1,6,6,0
Sunwolves,9,1,2,,,3,,,,,,,,,,3,3,0
Stormers,9,,,,,,2,1,,,1,,,,4,4,3,1
Reds,9,1,1,,,2,,,,1,,,,,1,3,2,1
Rebels,9,,1,1,,2,,,,3,,,,,3,5,2,3
