Team,Round,nrPasses,nrOffloads,passesTotal,kicksInPlay,carriesRuns,carriesMtrsMade,carriesNrTimesDefenceBeaten,carriesGainLine,carriesLinebreaks,carriesTkld,ballToRuckMaul,nrRuckInvolvement,ruckEff,ruckInEff,rcvs,turnOverInPos,PFinAttack,PFTotal,kickToPassPercentage,metresMadePerCarry,ballToRuckPerc,attackTotalPoss,turnOverConcededPerc
Waratahs,1,117,5,123,20,96,408,28,38,9,77,68,101,59,160,40,16,6,18,17.09,4.3,70.83,40,40.00
Sunwolves,1,161,8,170,7,106,391,13,52,5,99,88,147,56,203,28,16,3,15,4.35,3.7,83.02,26,61.54
Stormers,1,137,5,146,31,117,366,19,42,3,117,94,190,66,256,44,13,3,8,22.63,3.1,80.34,52,25.00
Sharks,1,111,5,117,12,107,621,27,60,10,83,82,138,38,176,26,18,2,14,10.81,5.8,76.64,45,40.00
Reds,1,164,5,171,14,137,334,22,52,8,128,111,217,70,287,35,18,3,11,8.54,2.4,81.02,44,40.91
Rebels,1,120,13,133,31,114,352,14,43,4,102,88,132,68,200,49,23,3,11,25.83,3.1,77.19,51,45.10
Lions,1,154,5,161,8,119,663,26,60,7,97,95,154,49,203,34,15,6,11,5.19,5.6,79.83,38,39.47
Kings,1,96,2,100,14,73,274,7,27,3,66,60,100,31,131,30,21,3,14,14.58,3.8,82.19,40,52.50
Jaguares,1,107,10,123,22,120,492,45,45,9,99,89,118,70,188,45,20,3,10,20.56,4.1,74.17,49,40.82
Hurricanes,1,145,5,152,7,106,421,16,41,2,100,83,156,23,179,30,33,2,8,4.83,4.0,78.30,40,82.50
Highlanders,1,106,9,116,19,88,329,11,35,3,71,60,106,22,128,34,13,3,12,17.92,3.7,68.18,31,41.94
Force,1,160,6,170,22,108,381,21,39,4,97,86,122,85,207,34,28,1,8,13.75,3.5,79.63,53,52.83
Crusaders,1,106,6,113,30,71,361,9,26,9,58,43,89,5,94,32,14,,7,28.30,5.1,60.56,47,29.79
Chiefs,1,147,17,165,25,128,553,23,51,8,109,80,143,6,149,42,18,3,8,17.01,4.3,62.50,49,36.73
Cheetahs,1,128,8,139,14,113,688,28,50,11,92,77,93,65,158,43,23,6,13,10.94,6.1,68.14,46,50.00
Bulls,1,99,5,111,26,111,348,6,38,2,106,87,160,69,229,50,20,5,12,26.26,3.1,78.38,48,41.67
Brumbies,1,102,4,106,21,87,341,13,37,8,74,70,134,15,149,33,15,3,14,20.59,3.9,80.46,40,37.50
Blues,1,133,8,143,19,132,407,26,54,7,122,111,214,37,251,36,10,1,6,14.29,3.1,84.09,42,23.81
Waratahs,2,102,6,108,17,81,267,13,32,5,71,57,111,29,140,37,16,3,13,16.67,3.3,70.37,42,38.10
Stormers,2,161,12,176,22,135,351,16,45,10,130,105,204,51,255,35,20,7,12,13.66,2.6,77.78,49,40.82
Sharks,2,90,8,101,28,93,478,20,27,8,70,67,130,56,186,36,16,2,9,31.11,5.1,72.04,52,30.77
Reds,2,142,3,146,26,92,315,16,41,4,84,76,110,105,215,30,20,3,11,18.31,3.4,82.61,47,42.55
Rebels,2,143,8,153,21,109,462,25,46,7,90,78,138,39,177,49,13,2,7,14.69,4.2,71.56,45,28.89
